run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5015.000,11.000,589.000,-0.000,-14622437014834134384640.000,11.886,118.640,0.924,0.156,-0.434,-2.350,0.122,0.759,0.058
5171.000,75.000,3773.000,-0.000,-14622437014834134384640.000,-99999.000,75.505,0.305,0.238,1.828,2.736,0.115,-0.133,0.007
5384.000,120.000,6016.000,-0.000,-14622437014834134384640.000,8.753,565.724,0.766,0.030,-0.047,-0.058,0.205,0.814,0.553
5384.000,128.000,6428.000,-0.000,-14622437014834134384640.000,6.639,57.259,0.942,0.264,0.034,0.060,0.196,0.907,0.925
5370.000,8.000,414.000,-0.000,-14622437014834134384640.000,0.267,44.013,0.000,0.033,2.226,1.050,0.264,-0.441,0.006
5078.000,54.000,2734.000,-0.000,-14622437014834134384640.000,114.980,209.620,0.000,0.003,0.131,1.262,0.257,0.999,0.104
5000.000,59.000,2967.000,-0.000,-14622437014834134384640.000,0.083,575.220,0.000,0.000,-0.428,-0.966,0.471,0.846,0.074
5386.000,89.000,4463.000,-0.000,-14622437014834134384640.000,25.296,109.811,0.036,0.260,-0.770,-1.007,0.077,0.615,0.011
5419.000,61.000,3090.000,-0.000,-14622437014834134384640.000,6.596,236.340,0.747,0.006,0.171,0.227,0.176,0.847,0.859
5905.000,67.000,3400.000,-0.000,-14622437014834134384640.000,47.864,119.768,0.100,0.034,-1.175,-1.899,0.130,0.248,0.008
5154.000,62.000,3140.000,-0.000,-14622437014834134384640.000,0.012,352.557,0.000,0.000,-1.261,-2.125,0.640,0.133,0.019
5541.000,123.000,6181.000,-0.000,-14622437014834134384640.000,5.362,148.729,0.061,0.041,-1.439,-1.619,0.103,0.021,0.004
5157.000,11.000,569.000,-0.000,-14622437014834134384640.000,-99999.000,72.633,0.868,0.239,-0.079,-0.360,0.317,0.975,0.566
5602.000,39.000,1995.000,-0.000,-14622437014834134384640.000,105.117,41.759,0.833,0.139,-0.195,-0.873,0.422,0.952,0.310
5588.000,176.000,8837.000,-0.000,-14622437014834134384640.000,69.779,982.888,0.026,0.022,-1.138,-0.829,0.093,0.296,0.005
4992.000,151.000,7587.000,-0.000,-14622437014834134384640.000,120.690,158.534,0.032,0.281,1.711,1.602,0.277,-0.036,0.006
4969.000,31.000,1569.000,-0.000,-14622437014834134384640.000,18.290,93.126,0.007,0.447,-2.043,-1.230,0.389,-0.496,0.006
5474.000,23.000,1163.000,-0.000,-14622437014834134384640.000,-99999.000,52.510,0.019,0.438,-1.218,-1.953,0.130,0.199,0.003
5474.000,29.000,1455.000,-0.000,-14622437014834134384640.000,1.032,30.803,0.392,0.282,3.073,0.093,0.307,-0.745,0.027
5031.000,106.000,5311.000,-0.000,-14622437014834134384640.000,21.411,220.666,0.305,0.007,0.269,0.274,0.234,0.769,0.353
5031.000,108.000,5434.000,-0.000,-14622437014834134384640.000,-99999.000,863.366,0.989,0.000,0.152,0.438,0.189,0.972,0.876
5891.000,21.000,1062.000,-0.000,-14622437014834134384640.000,0.112,267.431,0.000,0.007,1.208,0.933,0.392,0.415,0.010
5187.000,46.000,2337.000,-0.000,-14622437014834134384640.000,-99999.000,291.514,0.514,0.078,-0.060,-0.040,0.056,0.611,0.051
5454.000,204.000,10225.000,-0.000,-14622437014834134384640.000,76.017,116.954,0.084,0.305,-0.706,-2.298,0.113,0.554,0.007
5454.000,209.000,10494.000,-0.000,-14622437014834134384640.000,0.052,190.837,0.000,0.019,-0.379,-0.935,0.162,0.871,0.128
5217.000,107.000,5393.000,-0.000,-14622437014834134384640.000,0.063,134.764,0.000,0.209,-0.071,-0.226,0.290,0.961,0.516
5513.000,44.000,2228.000,-0.000,-14622437014834134384640.000,14.359,214.962,0.744,0.007,0.561,1.277,0.289,0.897,0.173
5191.000,32.000,1626.000,-0.000,-14622437014834134384640.000,0.054,50.735,0.000,0.003,0.154,0.077,0.151,0.518,0.009
5586.000,145.000,7264.000,-0.000,-14622437014834134384640.000,193.134,35.670,0.225,0.271,-0.795,-0.790,0.114,0.550,0.005
