run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5910.000,6.000,310.000,-0.000,-14622437014834134384640.000,111.114,332.429,0.520,0.005,-0.065,-0.238,0.164,0.969,0.773
5361.000,117.000,5890.000,-0.000,-14622437014834134384640.000,12.146,460.898,0.446,0.001,0.935,1.023,0.104,0.640,0.008
5362.000,12.000,617.000,-0.000,-14622437014834134384640.000,0.343,277.977,0.000,0.005,1.488,2.697,0.231,0.010,0.004
5512.000,179.000,8972.000,-0.000,-14622437014834134384640.000,15.147,92.586,0.710,0.481,-0.129,-2.969,0.010,0.731,0.026
5512.000,186.000,9336.000,-0.000,-14622437014834134384640.000,25.019,83.079,0.304,0.080,-0.510,-0.100,0.303,0.241,0.027
5536.000,67.000,3374.000,-0.000,-14622437014834134384640.000,543.900,145.434,0.560,0.057,1.622,1.586,0.335,0.054,0.013
5607.000,68.000,3409.000,-1000247708154498349949070612140916736.000,0.000,0.380,67.724,0.000,0.088,1.754,0.655,0.126,0.015,0.005
5364.000,161.000,8079.000,-0.000,-14622437014834134384640.000,-99999.000,233.975,0.540,0.283,-0.191,-0.413,0.044,0.906,0.680
5408.000,15.000,768.000,-0.000,-14622437014834134384640.000,16.180,35.199,0.085,0.292,-1.183,-2.165,0.139,0.193,0.002
5929.000,23.000,1160.000,-0.000,-14622437014834134384640.000,23.257,177.266,0.076,0.078,2.284,1.473,0.035,-0.561,0.003
5130.000,95.000,4793.000,-0.000,-14622437014834134384640.000,33.539,95.572,0.059,0.327,0.490,0.608,0.083,0.810,0.357
5929.000,93.000,4658.000,-0.000,-14622437014834134384640.000,10.092,1121.995,0.767,0.000,-0.378,-0.491,0.571,0.771,0.098
5508.000,116.000,5839.000,-0.000,-14622437014834134384640.000,10.420,37.722,0.058,0.444,1.121,1.229,0.286,0.526,0.003
5527.000,91.000,4579.000,-0.000,-14622437014834134384640.000,-99999.000,257.148,0.170,0.131,-2.992,-0.066,0.082,-0.330,0.009
5187.000,86.000,4337.000,-0.000,-14622437014834134384640.000,6.136,136.367,0.176,0.161,-0.859,-1.452,0.287,0.572,0.012
5519.000,188.000,9415.000,-0.000,-14622437014834134384640.000,21.161,36.383,0.080,0.052,1.074,1.732,0.272,0.549,0.003
5519.000,188.000,9431.000,-0.000,-14622437014834134384640.000,21.069,399.742,0.086,0.007,0.365,1.027,0.127,0.959,0.152
5384.000,158.000,7908.000,-0.000,-14622437014834134384640.000,30.234,1911.843,0.531,0.000,0.106,0.269,0.132,0.959,0.899
5055.000,50.000,2531.000,-0.000,-14622437014834134384640.000,-99999.000,272.068,0.340,0.298,0.634,1.311,0.265,0.863,0.106
5906.000,78.000,3906.000,-0.000,-14622437014834134384640.000,7.280,298.045,0.829,0.009,-0.715,-1.728,0.365,0.667,0.025
5513.000,91.000,4585.000,-0.000,-14622437014834134384640.000,15.109,40.610,0.082,0.479,-0.776,-1.765,0.259,0.617,0.006
5127.000,89.000,4483.000,-0.000,-14622437014834134384640.000,11.574,63.090,0.043,0.061,1.018,1.383,0.307,0.616,0.025
5617.000,49.000,2497.000,-0.000,-14622437014834134384640.000,22.747,854.481,0.690,0.000,-0.351,-0.726,0.089,0.863,0.030
5016.000,39.000,1976.000,-0.000,-14622437014834134384640.000,7.348,360.822,0.716,0.049,-0.358,-1.973,0.275,0.870,0.035
5143.000,36.000,1820.000,-0.000,-14622437014834134384640.000,79.457,143.164,0.031,0.051,-1.342,-0.328,0.037,0.115,0.007
5382.000,92.000,4605.000,-0.000,-14622437014834134384640.000,3.901,278.981,0.040,0.013,-1.369,-2.677,0.315,-0.027,0.006
5151.000,84.000,4202.000,-0.000,-14622437014834134384640.000,49.540,116.889,0.863,0.283,-0.044,-3.101,0.105,0.608,0.044
5184.000,15.000,783.000,-0.000,-14622437014834134384640.000,0.239,88.507,0.024,0.077,-1.557,-1.687,0.113,-0.101,0.010
5133.000,48.000,2447.000,-1000247708154498349949070612140916736.000,0.000,37.213,678.257,0.887,0.014,-0.049,-0.044,0.442,0.722,0.420
5322.000,17.000,890.000,-0.000,-14622437014834134384640.000,0.091,56.583,0.000,0.035,1.302,1.545,0.376,0.368,0.009
5364.000,145.000,7286.000,-0.000,-14622437014834134384640.000,67.341,153.423,0.055,0.387,0.567,1.068,0.085,0.879,0.041
5364.000,146.000,7331.000,-0.000,-14622437014834134384640.000,45.560,35.786,0.061,0.473,-2.479,-0.511,0.117,-0.511,0.003
5037.000,17.000,897.000,-0.000,-14622437014834134384640.000,12.404,211.184,0.116,0.059,-1.171,-0.889,0.102,0.278,0.006
5153.000,63.000,3152.000,-0.000,-14622437014834134384640.000,0.116,140.616,0.000,0.023,-0.430,-1.486,0.371,0.859,0.040
5444.000,21.000,1079.000,-0.000,-14622437014834134384640.000,-99999.000,34.905,0.088,0.245,1.269,1.851,0.122,0.361,0.002
5401.000,20.000,1007.000,-0.000,-14622437014834134384640.000,40.474,119.773,0.120,0.132,-2.231,-2.031,0.141,-0.673,0.028
5401.000,25.000,1258.000,-0.000,-14622437014834134384640.000,198.231,347.092,0.201,0.006,-0.131,-1.538,0.148,0.969,0.063
5499.000,94.000,4740.000,-0.000,-14622437014834134384640.000,43.924,135.043,0.613,0.117,-0.179,-0.529,0.529,0.938,0.620
5782.000,93.000,4681.000,-0.000,-14622437014834134384640.000,-99999.000,58.732,0.081,0.179,0.968,1.400,0.152,0.654,0.029
5768.000,20.000,1019.000,-0.000,-14622437014834134384640.000,27.423,75.795,0.234,0.215,-0.492,-0.945,0.095,0.805,0.036
5587.000,10.000,518.000,-1000247708154498349949070612140916736.000,0.000,22.834,205.281,0.712,0.035,-0.318,-0.334,0.102,0.728,0.217
5587.000,17.000,895.000,-1000247708154498349949070612140916736.000,0.000,-99999.000,104.451,0.296,0.387,0.627,1.209,0.066,0.862,0.034
5587.000,19.000,988.000,-1000247708154498349949070612140916736.000,0.000,9.383,247.396,0.039,0.406,-1.013,-1.573,0.458,0.434,0.016
5609.000,7.000,357.000,-0.000,-14622437014834134384640.000,131.355,152.609,0.125,0.309,1.161,2.465,0.057,0.265,0.005
5900.000,27.000,1371.000,-0.000,-14622437014834134384640.000,39.926,1039.590,0.068,0.000,0.231,2.113,0.191,0.969,0.012
5515.000,9.000,479.000,-0.000,-14622437014834134384640.000,32.397,648.365,0.896,0.127,0.309,0.396,0.063,0.836,0.723
5418.000,120.000,6021.000,-0.000,-14622437014834134384640.000,10.942,210.034,0.350,0.006,0.924,1.738,0.095,0.666,0.009
5084.000,67.000,3364.000,-0.000,-14622437014834134384640.000,96.539,201.651,0.198,0.387,-2.097,-1.232,0.315,-0.541,0.012
5769.000,49.000,2481.000,-0.000,-14622437014834134384640.000,25.712,41.253,0.046,0.347,0.863,1.813,0.469,0.698,0.027
5527.000,67.000,3363.000,-0.000,-14622437014834134384640.000,4.760,83.175,0.076,0.333,-1.847,-1.743,0.108,-0.380,0.013
5042.000,2.000,117.000,-0.000,-14622437014834134384640.000,0.167,545.689,0.000,0.037,-1.402,-0.576,0.369,0.100,0.006
5177.000,19.000,968.000,-0.000,-14622437014834134384640.000,9.404,9.994,0.024,0.494,-0.728,-1.433,0.448,0.674,0.056
5339.000,0.000,50.000,-0.000,-14622437014834134384640.000,7.789,187.133,0.036,0.053,1.592,1.603,0.290,0.082,0.004
5046.000,84.000,4226.000,-0.000,-14622437014834134384640.000,34.799,79.735,0.304,0.041,-1.096,-0.702,0.319,0.304,0.022
5387.000,70.000,3536.000,-0.000,-14622437014834134384640.000,21.334,69.928,0.046,0.417,-1.238,-1.213,0.144,0.237,0.003
5385.000,106.000,5307.000,-0.000,-14622437014834134384640.000,60.631,164.742,0.004,0.321,-1.708,-1.413,0.071,-0.226,0.005
5385.000,106.000,5317.000,-0.000,-14622437014834134384640.000,7.495,1554.902,0.000,0.001,-1.314,-1.371,0.093,0.161,0.002
