run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5581.000,82.000,4113.000,-0.000,-14622437014834134384640.000,40.563,435.972,0.251,0.262,-0.566,-1.328,0.124,0.783,0.014
5091.000,4.000,218.000,-0.000,-14622437014834134384640.000,103.081,988.543,0.892,0.015,0.126,0.293,0.111,0.950,0.971
5179.000,5.000,260.000,-0.000,-14622437014834134384640.000,16.387,663.546,0.011,0.001,-0.479,-0.286,0.121,0.514,0.004
4962.000,24.000,1238.000,-0.000,-14622437014834134384640.000,21.181,507.341,0.459,0.005,0.739,1.000,0.138,0.769,0.030
5204.000,126.000,6322.000,-0.000,-14622437014834134384640.000,0.345,1183.437,0.000,0.000,-1.717,-1.681,0.312,-0.257,0.005
5187.000,180.000,9009.000,-0.000,-14622437014834134384640.000,23.747,417.291,0.121,0.014,0.901,1.481,0.229,0.702,0.015
5547.000,81.000,4084.000,-0.000,-14622437014834134384640.000,37.459,972.906,0.953,0.147,-0.534,-1.217,0.251,0.800,0.066
5547.000,84.000,4208.000,-0.000,-14622437014834134384640.000,37.611,275.123,0.184,0.277,0.878,0.248,0.015,0.298,0.011
5227.000,1.000,73.000,-0.000,-14622437014834134384640.000,0.021,150.010,0.000,0.014,-0.990,-0.641,0.124,0.362,0.005
5557.000,56.000,2833.000,-0.000,-14622437014834134384640.000,17.600,321.908,0.484,0.004,0.437,0.788,0.160,0.900,0.463
5606.000,62.000,3106.000,-0.000,-14622437014834134384640.000,56.605,266.130,0.084,0.357,0.621,1.545,0.064,0.869,0.008
5911.000,44.000,2213.000,-0.000,-14622437014834134384640.000,-99999.000,64.810,0.025,0.471,-2.359,-1.682,0.113,-0.782,0.009
5894.000,40.000,2039.000,-0.000,-14622437014834134384640.000,1.096,89.987,0.000,0.099,1.273,1.482,0.487,0.397,0.013
5515.000,199.000,9975.000,-0.000,-14622437014834134384640.000,4.891,192.563,0.078,0.068,-0.746,-2.401,0.037,0.480,0.005
5618.000,40.000,2045.000,-0.000,-14622437014834134384640.000,0.211,680.990,0.566,0.019,-0.445,-0.841,0.290,0.820,0.083
5617.000,67.000,3385.000,-0.000,-14622437014834134384640.000,0.548,54.308,0.012,0.088,1.400,1.350,0.182,0.283,0.005
5933.000,115.000,5768.000,-0.000,-14622437014834134384640.000,22.062,153.196,0.376,0.471,0.716,0.113,0.031,0.217,0.023
5203.000,19.000,975.000,-0.000,-14622437014834134384640.000,5.637,670.611,0.556,0.000,0.600,1.157,0.118,0.871,0.044
5941.000,27.000,1393.000,-0.000,-14622437014834134384640.000,24.589,51.732,0.041,0.380,-1.312,-1.147,0.099,0.170,0.002
5515.000,146.000,7306.000,-0.000,-14622437014834134384640.000,36.597,61.167,0.275,0.099,-0.030,-3.068,0.412,0.885,0.080
5061.000,42.000,2124.000,-0.000,-14622437014834134384640.000,105.372,108.726,0.242,0.125,-0.082,-0.321,0.469,0.970,0.490
5588.000,33.000,1665.000,-0.000,-14622437014834134384640.000,18.659,236.888,0.080,0.345,-1.537,-1.339,0.052,-0.053,0.004
5588.000,37.000,1892.000,-0.000,-14622437014834134384640.000,0.004,114.649,0.000,0.019,-0.620,-2.327,0.173,0.615,0.010
5937.000,31.000,1582.000,-0.000,-14622437014834134384640.000,59.129,34.994,0.316,0.254,-0.955,-0.895,0.496,0.450,0.031
5187.000,131.000,6579.000,-14747.215,-2344335872.000,18.873,45.930,0.107,0.434,1.345,0.961,0.278,0.314,0.004
5086.000,10.000,541.000,-0.000,-14622437014834134384640.000,0.222,203.422,0.000,0.020,1.521,1.647,0.699,0.148,0.020
5777.000,6.000,345.000,-0.000,-14622437014834134384640.000,8.127,1063.466,0.998,0.011,0.136,2.719,0.057,0.931,0.026
5776.000,55.000,2767.000,-0.000,-14622437014834134384640.000,7.435,454.470,0.171,0.009,0.838,0.826,0.163,0.656,0.031
5965.000,28.000,1446.000,-0.000,-14622437014834134384640.000,14.256,141.479,0.127,0.269,-2.936,-2.979,0.265,-0.682,0.079
5384.000,108.000,5434.000,-0.000,-14622437014834134384640.000,129.995,317.690,0.147,0.033,1.154,1.017,0.147,0.473,0.014
4986.000,24.000,1228.000,-0.000,-14622437014834134384640.000,15.243,115.319,0.078,0.047,2.933,2.843,0.428,-0.831,0.128
5110.000,46.000,2335.000,-0.000,-14622437014834134384640.000,7.680,93.028,0.082,0.027,1.523,0.440,0.106,0.137,0.010
5110.000,48.000,2424.000,-0.000,-14622437014834134384640.000,7.745,69.662,0.213,0.423,1.550,0.809,0.097,0.146,0.007
5921.000,113.000,5663.000,-1000247708154498349949070612140916736.000,0.000,86.730,79.791,0.041,0.272,0.413,2.058,0.475,0.913,0.031
5478.000,45.000,2300.000,-0.000,-14622437014834134384640.000,40.613,153.037,0.341,0.087,-0.589,-0.617,0.142,0.651,0.049
5573.000,100.000,5005.000,-0.000,-14622437014834134384640.000,0.126,241.061,0.000,0.052,-0.840,-2.763,0.093,0.205,0.004
5923.000,1.000,73.000,-0.000,-14622437014834134384640.000,55.561,101.137,0.310,0.036,-1.114,-2.342,0.052,0.206,0.015
5923.000,3.000,182.000,-0.000,-14622437014834134384640.000,7.842,389.952,0.028,0.002,0.459,0.316,0.078,0.619,0.026
5459.000,68.000,3450.000,-10587071020017909760.000,0.000,86.808,148.205,0.076,0.495,-3.028,-0.205,0.433,-0.837,0.104
5154.000,10.000,521.000,-0.000,-14622437014834134384640.000,23.305,414.040,0.054,0.005,-1.259,-0.998,0.105,0.214,0.004
4962.000,0.000,46.000,-0.000,-14622437014834134384640.000,0.218,3398.779,0.000,0.438,0.158,2.298,0.352,0.975,0.012
4962.000,2.000,138.000,-0.000,-14622437014834134384640.000,0.076,250.445,0.000,0.008,-0.254,-0.755,0.305,0.921,0.185
4962.000,4.000,242.000,-0.000,-14622437014834134384640.000,6.897,64.162,0.060,0.392,-1.305,-1.007,0.198,0.176,0.006
