run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
5386.000,47.000,2359.000,-0.000,-14622437014834134384640.000,0.020,580.833,0.000,0.000,0.385,2.712,0.557,0.691,0.027
5938.000,42.000,2105.000,-0.000,-14622437014834134384640.000,0.165,136.912,0.000,0.099,-0.793,-1.866,0.193,0.589,0.007
5087.000,26.000,1326.000,-0.000,-14622437014834134384640.000,0.106,23.865,0.000,0.093,-0.356,-2.768,0.224,0.614,0.005
5069.000,4.000,235.000,-0.000,-14622437014834134384640.000,57.148,20.535,0.141,0.153,-0.654,-0.424,0.303,0.494,0.004
5233.000,116.000,5823.000,-0.000,-14622437014834134384640.000,0.254,390.162,0.000,0.327,-1.167,-0.327,0.034,0.175,0.003
5386.000,190.000,9532.000,-0.000,-14622437014834134384640.000,18.902,568.670,0.922,0.001,0.158,0.290,0.147,0.917,0.953
5386.000,191.000,9583.000,-0.000,-14622437014834134384640.000,10.541,122.624,0.728,0.049,-0.128,-0.455,0.112,0.958,0.391
5630.000,29.000,1460.000,-0.000,-14622437014834134384640.000,70.468,222.508,0.085,0.056,-2.207,-1.886,0.235,-0.672,0.037
5630.000,32.000,1610.000,-0.000,-14622437014834134384640.000,0.119,130.236,0.000,0.333,0.468,2.078,0.229,0.885,0.011
5029.000,59.000,2955.000,-0.000,-14622437014834134384640.000,33.745,138.589,0.245,0.046,-3.026,-0.584,0.139,-0.968,0.059
5588.000,33.000,1665.000,-0.000,-14622437014834134384640.000,20.138,280.541,0.071,0.069,-1.443,-1.402,0.098,0.034,0.007
5588.000,37.000,1892.000,-0.000,-14622437014834134384640.000,0.004,112.650,0.000,0.019,-0.620,-2.327,0.173,0.615,0.010
5588.000,41.000,2053.000,-0.000,-14622437014834134384640.000,36.877,146.173,0.125,0.260,2.059,2.132,0.098,-0.363,0.003
4998.000,122.000,6124.000,-0.000,-14622437014834134384640.000,33.514,124.139,0.429,0.163,0.071,1.809,0.257,0.995,0.044
5390.000,24.000,1240.000,-0.000,-14622437014834134384640.000,106.996,106.776,0.012,0.152,-0.979,-1.169,0.145,0.465,0.009
5361.000,123.000,6178.000,-0.000,-14622437014834134384640.000,28.972,39.370,0.033,0.434,-0.645,-2.480,0.525,0.528,0.014
5437.000,202.000,10140.000,-0.000,-14622437014834134384640.000,5.156,55.971,0.120,0.178,-2.765,-0.327,0.152,-0.594,0.013
5437.000,204.000,10205.000,-0.000,-14622437014834134384640.000,0.437,274.508,0.012,0.400,-1.654,-1.420,0.054,-0.174,0.003
5625.000,164.000,8213.000,-0.000,-14622437014834134384640.000,10.211,197.065,0.065,0.127,1.303,1.925,0.120,0.317,0.004
5912.000,85.000,4283.000,-0.000,-14622437014834134384640.000,3.969,73.092,0.010,0.169,-1.447,-1.892,0.328,-0.009,0.009
5912.000,107.000,5367.000,-0.000,-14622437014834134384640.000,12.655,94.254,0.030,0.110,-1.604,-1.219,0.179,-0.104,0.006
5425.000,38.000,1943.000,-0.000,-14622437014834134384640.000,0.106,104.191,0.000,0.069,-2.544,-1.423,0.218,-0.869,0.023
5588.000,45.000,2277.000,-0.000,-14622437014834134384640.000,48.657,100.236,0.063,0.015,2.027,1.361,0.154,-0.321,0.018
5452.000,37.000,1863.000,-0.000,-14622437014834134384640.000,51.548,18.061,0.018,0.077,-0.823,-1.910,0.237,0.557,0.003
5557.000,33.000,1675.000,-0.000,-14622437014834134384640.000,5.699,121.298,0.067,0.377,-1.811,-2.142,0.068,-0.329,0.009
5404.000,55.000,2765.000,-0.000,-14622437014834134384640.000,31.405,62.356,0.168,0.139,0.514,0.503,0.340,0.735,0.087
5586.000,69.000,3463.000,-0.000,-14622437014834134384640.000,8.043,187.157,0.370,0.113,0.466,1.093,0.089,0.927,0.120
5448.000,0.000,33.000,-0.000,-14622437014834134384640.000,64.661,154.716,0.524,0.076,-0.084,-2.782,0.056,0.938,0.084
5448.000,9.000,454.000,-0.000,-14622437014834134384640.000,53.625,1165.139,0.746,0.048,0.297,0.660,0.159,0.944,0.755
5587.000,20.000,1021.000,-0.000,-14622437014834134384640.000,48.845,694.449,0.000,0.047,0.043,0.050,0.108,0.808,0.379
5587.000,26.000,1340.000,-0.000,-14622437014834134384640.000,33.235,21.381,0.067,0.438,0.858,2.268,0.094,0.573,0.004
5144.000,27.000,1365.000,-0.000,-14622437014834134384640.000,39.698,130.579,0.022,0.460,-1.733,-1.915,0.054,-0.276,0.004
5029.000,156.000,7804.000,-0.000,-14622437014834134384640.000,95.821,189.380,0.696,0.045,0.692,1.885,0.137,0.797,0.029
5029.000,163.000,8173.000,-0.000,-14622437014834134384640.000,16.678,609.741,0.095,0.050,0.369,1.462,0.250,0.965,0.042
5226.000,20.000,1025.000,-0.000,-14622437014834134384640.000,4.543,405.782,0.860,0.014,-0.388,-1.976,0.174,0.853,0.043
5386.000,188.000,9427.000,-0.000,-14622437014834134384640.000,105.118,158.777,0.095,0.004,-2.112,-1.960,0.457,-0.594,0.060
5217.000,60.000,3050.000,-0.000,-14622437014834134384640.000,147.487,158.522,0.478,0.311,-0.198,-0.549,0.230,0.929,0.488
5906.000,49.000,2465.000,-0.000,-14622437014834134384640.000,-99999.000,223.495,0.128,0.318,0.309,0.406,0.170,0.842,0.502
4998.000,25.000,1263.000,-0.000,-14622437014834134384640.000,0.491,57.763,0.000,0.375,-2.765,-0.044,0.078,-0.036,0.005
5497.000,117.000,5852.000,-0.000,-14622437014834134384640.000,5.192,32.073,0.059,0.438,-1.664,-1.048,0.109,-0.133,0.002
5497.000,117.000,5900.000,-0.000,-14622437014834134384640.000,137.940,50.267,0.584,0.494,0.378,0.139,0.127,0.414,0.011
5586.000,120.000,6021.000,-0.000,-14622437014834134384640.000,0.032,897.202,0.000,0.008,-0.309,-0.218,0.275,0.601,0.030
5604.000,18.000,908.000,-0.000,-14622437014834134384640.000,65.661,814.090,0.808,0.002,0.266,0.517,0.112,0.927,0.869
5512.000,179.000,8972.000,-0.000,-14622437014834134384640.000,42.631,131.519,0.519,0.096,-0.217,-2.815,0.278,0.755,0.048
5512.000,180.000,9008.000,-0.000,-14622437014834134384640.000,30.162,816.602,0.000,0.002,-0.343,-0.371,0.102,0.730,0.018
5512.000,186.000,9336.000,-0.000,-14622437014834134384640.000,25.705,75.425,0.304,0.172,-0.533,-0.120,0.297,0.262,0.021
5404.000,6.000,327.000,-0.000,-14622437014834134384640.000,0.043,96.017,0.000,0.157,-0.713,-2.265,0.108,0.560,0.005
5606.000,62.000,3106.000,-0.000,-14622437014834134384640.000,56.605,266.130,0.084,0.248,0.621,1.545,0.064,0.869,0.012
5019.000,1.000,66.000,-0.000,-14622437014834134384640.000,45.857,230.876,0.000,0.043,1.923,1.525,0.533,-0.239,0.016
5121.000,11.000,571.000,-0.000,-14622437014834134384640.000,-99999.000,71.205,0.007,0.454,-1.584,-2.013,0.087,-0.142,0.004
5121.000,14.000,714.000,-0.000,-14622437014834134384640.000,13.880,85.597,0.043,0.130,0.023,3.126,0.226,0.487,0.006
