sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
32.671,52.443,0.047,0.429,1.181,1.896,0.086,0.430,0.003
22.011,90.051,0.097,0.099,-1.609,-0.837,0.100,-0.054,0.011
12.127,119.315,0.091,0.069,-2.192,-1.576,0.203,-0.663,0.024
13.118,116.871,0.075,0.020,-1.438,-2.063,0.232,-0.015,0.006
2.563,26.712,0.000,0.118,-2.271,-1.948,0.326,-0.712,0.021
11.731,32.831,0.368,0.339,0.555,0.468,0.122,0.679,0.019
9.760,77.737,0.074,0.160,1.636,1.602,0.150,0.039,0.005
21.607,89.005,0.007,0.242,-2.059,-1.307,0.319,-0.525,0.008
66.053,573.616,0.001,0.059,-1.442,-1.610,0.201,0.019,0.004
101.703,24.224,0.294,0.093,0.066,3.099,0.195,0.477,0.023
83.528,36.908,0.029,0.228,-0.896,-2.224,0.161,0.419,0.002
28.270,85.186,0.000,0.203,0.251,1.200,0.269,0.990,0.082
9.551,48.116,0.032,0.085,1.819,1.066,0.252,-0.087,0.004
80.291,51.940,0.103,0.483,-2.023,-2.614,0.166,-0.354,0.012
122.664,63.274,0.111,0.074,-2.216,-1.952,0.197,-0.673,0.040
0.079,33.837,0.045,0.317,-2.075,-1.655,0.250,-0.576,0.005
8.949,145.876,0.199,0.017,-1.512,-1.295,0.221,-0.024,0.008
13.890,36.302,0.004,0.116,-1.071,-2.087,0.222,0.306,0.002
0.059,83.627,0.000,0.237,0.815,1.390,0.113,0.761,0.028
15.798,41.855,0.412,0.120,-2.710,-2.664,0.163,-0.785,0.067
33.643,14.759,0.093,0.411,-0.051,-3.013,0.328,0.887,0.010
0.311,614.454,0.000,0.003,-0.684,-0.248,0.120,0.334,0.003
37.172,526.386,0.946,0.003,1.028,1.149,0.305,0.591,0.034
1.197,131.643,0.039,0.392,1.275,2.244,0.013,0.262,0.003
4.194,38.600,0.127,0.058,-1.625,-1.165,0.322,-0.116,0.004
0.087,67.706,0.000,0.031,-2.018,-2.468,0.438,-0.407,0.047
7.636,16.802,0.019,0.136,1.015,1.838,0.212,0.579,0.005
-99999.000,41.888,0.086,0.342,-0.756,-1.137,0.403,0.642,0.015
14.507,414.945,0.312,0.234,1.054,2.985,0.120,0.026,0.004
39.813,30.409,0.093,0.384,1.354,2.160,0.116,0.222,0.002
104.916,35.373,0.006,0.180,-1.074,-2.025,0.121,0.317,0.002
32.722,104.589,0.029,0.126,0.874,1.629,0.247,0.713,0.016
7.379,57.542,0.101,0.248,-1.823,-1.050,0.073,-0.267,0.006
14.548,545.088,0.015,0.002,-1.602,-1.431,0.100,-0.125,0.003
-99999.000,29.302,0.709,0.178,-0.035,-3.008,0.487,0.934,0.127
0.064,850.228,0.000,0.010,-0.560,-0.866,0.024,0.747,0.008
46.319,177.266,0.092,0.230,1.151,2.750,0.157,0.135,0.003
0.071,183.937,0.000,0.026,-0.460,-2.842,0.037,0.415,0.004
29.543,222.485,0.000,0.416,1.941,1.537,0.169,-0.257,0.003
16.623,119.197,0.022,0.037,1.292,0.691,0.113,0.304,0.009
15.726,25.218,0.104,0.466,0.367,1.590,0.329,0.963,0.009
22.031,142.558,0.014,0.061,-1.576,-1.774,0.056,-0.125,0.006
179.779,111.917,0.223,0.204,0.709,0.086,0.113,0.186,0.034
53.551,241.397,0.176,0.321,-1.575,-1.937,0.071,-0.132,0.007
136.853,76.242,0.053,0.176,-0.854,-1.995,0.109,0.515,0.009
60.162,29.719,0.020,0.384,-0.276,-0.229,0.226,0.661,0.013
66.537,51.272,0.067,0.265,-0.988,-1.167,0.093,0.457,0.006
0.125,41.143,0.000,0.037,-1.517,-1.485,0.621,-0.046,0.009
0.208,239.417,0.000,0.005,0.882,1.803,0.166,0.686,0.017
10.435,482.537,0.880,0.010,-0.233,-1.825,0.174,0.934,0.096
24.267,199.711,0.376,0.026,-1.892,-1.900,0.195,-0.418,0.042
-99999.000,70.014,0.164,0.346,-1.404,-2.495,0.249,-0.026,0.006
-99999.000,36.187,0.127,0.364,0.901,1.832,0.134,0.667,0.006
27.135,139.784,0.028,0.419,1.613,1.025,0.096,0.096,0.003
10.110,35.003,0.626,0.497,-0.247,-1.183,0.153,0.938,0.021
20.483,59.362,0.098,0.269,-1.985,-1.189,0.125,-0.438,0.005
37.377,66.533,0.086,0.478,-1.424,-1.346,0.076,0.056,0.010
129.985,62.182,0.088,0.080,-2.955,-3.046,0.306,-0.527,0.027
-99999.000,86.083,0.000,0.109,-1.928,-1.325,0.174,-0.416,0.011
0.110,311.168,0.000,0.083,-1.390,-1.363,0.051,0.088,0.003
-99999.000,20.213,0.049,0.235,0.585,0.654,0.164,0.764,0.064
65.560,105.138,0.005,0.259,-0.828,-1.776,0.120,0.574,0.006
0.115,23.143,0.000,0.204,2.785,0.569,0.210,-0.745,0.006
10.332,42.568,0.088,0.323,-1.802,-1.120,0.159,-0.265,0.003
29.276,71.570,0.070,0.024,1.847,1.147,0.259,-0.123,0.014
0.161,501.781,0.000,0.000,0.377,0.342,0.490,0.724,0.180
12.032,31.583,0.099,0.420,-1.469,-2.262,0.109,-0.054,0.002
23.585,46.034,0.014,0.155,1.523,1.239,0.086,0.171,0.003
35.285,121.909,0.098,0.492,-0.439,-1.105,0.005,0.850,0.059
4.086,55.051,0.005,0.424,-0.767,-0.857,0.271,0.589,0.011
20.613,43.966,0.093,0.162,-0.763,-2.753,0.268,0.260,0.003
20.902,34.294,0.101,0.255,1.183,2.270,0.198,0.325,0.002
14.799,59.920,0.372,0.370,-0.762,-2.338,0.121,0.492,0.008
201.675,82.193,0.000,0.209,0.123,2.543,0.269,0.967,0.069
