sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
-99999.000,29.205,0.585,0.249,1.298,2.922,0.177,0.007,0.010
9.928,122.407,0.075,0.025,0.586,1.908,0.100,0.854,0.011
9.411,241.334,0.034,0.181,-1.419,-1.779,0.047,0.028,0.004
0.183,25.528,0.043,0.436,-0.686,-1.050,0.379,0.684,0.012
24.982,40.073,0.024,0.083,-0.902,-1.821,0.526,0.506,0.012
28.177,256.633,0.050,0.012,-2.182,-1.810,0.123,-0.659,0.016
36.150,376.195,0.646,0.014,0.202,1.082,0.340,0.995,0.144
12.813,857.954,0.000,0.000,0.249,0.685,0.641,0.968,0.053
47.687,266.080,0.009,0.096,0.771,2.688,0.411,0.385,0.008
20.373,359.665,0.807,0.004,0.560,0.367,0.170,0.590,0.063
10.612,41.224,0.005,0.092,-1.507,-1.726,0.451,-0.054,0.012
32.079,51.259,0.034,0.430,-1.325,-0.508,0.230,0.138,0.003
24.485,212.889,0.423,0.115,0.825,1.381,0.492,0.754,0.051
48.135,92.488,0.051,0.432,-1.286,-0.674,0.189,0.174,0.006
8.322,13.411,0.044,0.348,0.630,2.475,0.234,0.644,0.008
-99999.000,937.807,0.977,0.003,-0.094,-0.555,0.265,0.978,0.068
42.804,582.439,0.835,0.011,-0.113,-0.126,0.589,0.779,0.500
8.243,288.658,0.157,0.002,-1.260,-0.570,0.160,0.179,0.006
15.418,152.479,0.761,0.017,1.661,1.662,0.327,0.010,0.009
37.019,578.644,0.012,0.003,-1.738,-0.443,0.093,-0.046,0.003
44.476,593.853,0.008,0.302,-1.536,-1.431,0.021,-0.060,0.003
60.570,81.089,0.127,0.397,0.403,2.338,0.093,0.864,0.013
0.194,231.411,0.000,0.096,0.922,1.683,0.125,0.673,0.013
11.382,233.563,0.032,0.115,0.716,0.867,0.133,0.753,0.035
33.068,175.587,0.431,0.103,-0.325,-0.666,0.118,0.868,0.324
197.909,299.137,0.090,0.024,1.218,1.122,0.089,0.436,0.013
6.325,438.754,0.525,0.013,0.733,2.115,0.298,0.719,0.013
30.029,869.901,0.598,0.001,-0.544,-1.533,0.172,0.795,0.018
10.890,230.175,0.003,0.088,-0.040,-0.019,0.052,0.487,0.007
52.390,899.511,0.075,0.254,1.407,1.903,0.099,0.227,0.003
84.256,111.459,0.179,0.014,1.140,2.093,0.194,0.416,0.010
23.499,345.067,0.521,0.028,0.149,1.308,0.247,0.998,0.120
27.042,39.160,0.131,0.146,-0.978,-1.502,0.356,0.469,0.004
110.542,1040.887,0.000,0.017,0.600,0.977,0.205,0.849,0.166
-99999.000,196.944,0.252,0.016,-1.409,-1.906,0.237,0.026,0.012
13.564,125.052,0.599,0.189,0.020,3.092,0.167,0.895,0.032
-99999.000,110.136,0.069,0.066,-1.073,-2.408,0.112,0.217,0.007
72.074,138.097,0.023,0.314,1.225,1.646,0.069,0.430,0.003
5.393,293.242,0.144,0.042,0.881,0.925,0.263,0.656,0.036
17.529,725.504,0.490,0.004,-0.496,-2.053,0.163,0.778,0.011
