run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
17219.000,75.000,3766.000,1.034,1.000,49.896,411.682,0.141,0.028,-0.560,-0.373,0.083,0.528,0.020
15689.000,138.000,6909.000,0.857,1.100,-99999.000,97.481,0.427,0.276,-1.054,-1.509,0.220,0.401,0.009
17681.000,35.000,1800.000,0.529,1.000,7.855,184.514,0.335,0.078,0.230,2.973,0.246,0.529,0.008
17488.000,192.000,9612.000,0.947,1.000,-99999.000,575.201,0.966,0.027,-0.019,-0.101,0.187,0.987,0.672
18008.000,57.000,2867.000,0.965,1.000,0.058,381.175,0.000,0.271,0.467,0.867,0.269,0.900,0.179
18008.000,57.000,2888.000,0.528,1.000,0.423,224.368,0.540,0.031,-0.008,-3.122,0.090,0.882,0.087
14603.000,33.000,1654.000,0.928,1.126,38.317,575.938,0.260,0.027,-0.165,-1.843,0.543,0.956,0.031
14603.000,33.000,1693.000,0.893,1.000,-99999.000,375.177,0.175,0.036,-0.854,-0.897,0.065,0.530,0.007
17566.000,13.000,677.000,0.814,1.000,6.628,169.895,0.099,0.136,-2.131,-1.509,0.278,-0.612,0.023
17091.000,21.000,1093.000,0.449,1.000,72.997,593.355,0.224,0.077,2.702,2.559,0.218,-0.758,0.024
14512.000,7.000,374.000,0.567,0.961,23.486,829.130,0.010,0.000,-0.900,-1.365,0.083,0.539,0.004
16867.000,186.000,9305.000,0.565,1.054,25.863,38.765,0.077,0.025,-1.152,-1.207,0.313,0.315,0.003
17226.000,35.000,1751.000,0.931,1.000,44.728,407.824,0.000,0.041,0.277,0.292,0.149,0.780,0.484
16144.000,71.000,3597.000,0.596,inf,2.535,94.668,0.000,0.038,-1.098,-2.464,0.354,0.180,0.006
17206.000,107.000,5357.000,0.936,1.264,195.648,287.032,0.956,0.013,0.629,2.381,0.090,0.693,0.065
14954.000,39.000,1973.000,0.578,1.000,39.842,452.893,0.332,0.003,-0.514,-0.251,0.199,0.445,0.035
16113.000,149.000,7468.000,0.940,0.241,22.086,826.086,0.909,0.089,-0.099,-0.268,0.059,0.945,0.196
16113.000,238.000,11911.000,1.166,1.176,-99999.000,1311.629,0.908,0.003,0.028,0.038,0.096,0.849,0.943
16573.000,38.000,1945.000,0.746,0.414,37.528,858.956,0.000,0.000,0.165,0.345,0.270,0.938,0.870
18021.000,432.000,21623.000,0.958,1.000,0.181,41.331,0.079,0.133,-1.501,-1.493,0.256,-0.030,0.003
17370.000,46.000,2312.000,1.035,1.000,-99999.000,94.355,0.016,0.327,-1.787,-0.862,0.088,-0.192,0.004
15421.000,44.000,2236.000,1.001,1.000,27.637,792.430,0.997,0.035,-0.117,-0.231,0.289,0.906,0.877
17956.000,269.000,13493.000,0.667,1.000,14.236,71.680,0.119,0.164,-1.370,-2.435,0.301,0.002,0.005
17956.000,269.000,13494.000,1.718,1.230,-99999.000,176.154,0.412,0.100,3.065,3.114,0.092,-0.407,0.015
17956.000,317.000,15896.000,0.848,1.000,9.579,211.394,0.011,0.011,-1.546,-1.705,0.246,-0.091,0.005
17132.000,148.000,7411.000,0.985,1.173,8.876,86.734,0.263,0.205,-2.492,-1.015,0.072,-0.772,0.024
17865.000,385.000,19276.000,0.961,1.000,29.776,254.811,0.418,0.012,0.644,0.722,0.074,0.752,0.085
15931.000,254.000,12723.000,0.628,1.000,7.015,127.875,0.051,0.143,2.640,0.780,0.178,-0.701,0.029
18954.000,270.000,13515.000,1.093,1.744,31.702,327.029,0.134,0.055,-0.070,-3.085,0.420,0.557,0.016
17687.000,10.000,547.000,0.637,1.000,20.449,25.806,0.069,0.390,1.128,1.559,0.322,0.521,0.003
17171.000,43.000,2175.000,1.069,2.532,55.019,26.698,0.089,0.384,-0.583,-2.709,0.160,0.434,0.003
17998.000,96.000,4832.000,1.192,1.000,6.402,469.621,0.984,0.030,-0.435,-1.824,0.375,0.841,0.026
17874.000,89.000,4458.000,1.040,1.000,33.695,629.787,0.028,0.016,0.871,0.728,0.237,0.598,0.027
14736.000,163.000,8184.000,1.034,1.176,31.585,1018.060,0.998,0.023,0.208,1.022,0.129,0.994,0.258
17205.000,43.000,2154.000,1.125,1.177,20.731,1817.845,0.000,0.000,0.055,0.552,0.132,0.999,0.041
17205.000,158.000,7930.000,1.001,1.000,5.789,369.285,0.805,0.019,-0.404,-0.402,0.124,0.692,0.103
17630.000,119.000,5995.000,0.994,1.169,0.026,60.700,0.000,0.025,-0.390,-0.339,0.577,0.653,0.058
16489.000,1.000,68.000,0.502,1.000,31.650,75.355,0.010,0.095,-1.683,-2.233,0.330,-0.219,0.005
14938.000,1.000,95.000,0.681,1.000,37.287,27.373,0.085,0.248,-1.589,-1.283,0.119,-0.097,0.003
17199.000,12.000,630.000,0.807,1.000,57.698,1854.365,0.357,0.005,0.339,0.552,0.040,0.891,0.410
17091.000,7.000,384.000,0.503,1.000,8.782,489.691,0.732,0.005,-0.268,-0.598,0.226,0.894,0.539
17327.000,84.000,4226.000,0.814,1.000,0.109,443.648,0.000,0.431,-1.785,-0.776,0.017,-0.167,0.003
15689.000,145.000,7270.000,0.666,1.000,130.381,400.491,0.983,0.003,-0.134,-0.203,0.031,0.854,0.791
16036.000,215.000,10788.000,0.580,1.000,6.088,534.643,0.000,0.009,-0.273,-1.293,0.334,0.929,0.037
17560.000,45.000,2254.000,0.527,1.000,16.553,470.145,0.554,0.007,0.668,0.490,0.126,0.610,0.052
17084.000,11.000,577.000,1.004,1.000,45.279,63.332,0.038,0.276,-1.279,-2.142,0.126,0.114,0.006
15900.000,110.000,5508.000,0.630,1.000,14.342,28.488,0.055,0.140,-1.362,-2.276,0.150,0.028,0.002
15900.000,130.000,6526.000,0.842,1.168,20.853,609.826,0.863,0.013,-0.347,-2.027,0.129,0.871,0.036
14831.000,199.000,9959.000,0.830,1.000,48.444,378.776,0.013,0.040,-2.505,-0.435,0.461,-0.468,0.050
15121.000,2.000,122.000,0.574,1.000,-99999.000,59.513,0.079,0.245,2.610,1.974,0.164,-0.799,0.029
18752.000,392.000,19609.000,0.915,1.092,9.526,601.023,0.986,0.027,0.449,0.683,0.199,0.866,0.575
14924.000,50.000,2537.000,0.359,1.119,47.365,165.677,0.124,0.435,1.031,1.174,0.113,0.592,0.021
18651.000,59.000,2975.000,0.957,1.000,-99999.000,287.922,0.918,0.030,0.138,0.298,0.040,0.941,0.912
17162.000,31.000,1594.000,0.900,1.000,25.109,280.543,0.059,0.065,-1.184,-1.593,0.293,0.274,0.006
17162.000,90.000,4542.000,1.361,1.000,66.559,16.712,0.314,0.464,0.476,2.203,0.621,0.856,0.078
14770.000,4.000,216.000,0.909,1.000,-99999.000,242.164,0.285,0.009,-1.468,-0.596,0.155,0.063,0.015
14770.000,70.000,3519.000,0.561,1.000,6.577,1034.864,0.138,0.140,-0.279,-0.677,0.315,0.899,0.077
14152.000,95.000,4759.000,0.991,0.654,17.640,146.065,0.011,0.369,-1.614,-1.068,0.046,-0.093,0.003
17471.000,7.000,395.000,0.779,1.000,15.292,549.020,0.173,0.001,-0.354,-1.208,0.181,0.896,0.053
15603.000,26.000,1328.000,0.929,1.000,6.136,310.782,0.177,0.010,1.580,2.462,0.109,-0.000,0.003
17555.000,3.000,192.000,0.977,1.000,26.350,526.426,0.125,0.002,-0.645,-0.852,0.245,0.681,0.020
15499.000,52.000,2619.000,0.552,1.174,8.807,69.743,0.161,0.318,-2.551,-2.033,0.347,-0.872,0.042
15466.000,179.000,8957.000,0.922,1.302,298.708,188.982,0.041,0.124,0.822,1.017,0.278,0.718,0.083
16203.000,154.000,7747.000,0.635,1.000,-99999.000,116.495,0.034,0.081,2.322,2.712,0.067,-0.385,0.004
15228.000,64.000,3221.000,0.997,1.209,87.348,1715.987,0.000,0.000,0.092,1.828,0.033,0.995,0.005
14127.000,176.000,8834.000,0.722,1.000,13.469,162.231,0.000,0.153,0.035,0.063,0.623,0.906,0.676
16022.000,172.000,8629.000,0.701,1.000,15.285,277.648,0.937,0.140,0.124,0.241,0.102,0.926,0.956
16022.000,172.000,8632.000,0.904,1.000,-99999.000,50.917,0.065,0.364,-2.004,-1.571,0.172,-0.512,0.005
16022.000,435.000,21770.000,1.003,1.000,25.342,222.376,0.163,0.068,0.322,1.728,0.503,0.969,0.043
15282.000,48.000,2432.000,0.851,1.000,22.275,69.765,0.115,0.474,1.176,2.105,0.253,0.383,0.007
15799.000,173.000,8690.000,1.036,1.000,31.651,462.733,0.991,0.005,-0.092,-2.205,0.179,0.970,0.119
18663.000,47.000,2377.000,1.276,1.000,8.161,233.477,0.298,0.009,0.657,1.935,0.125,0.810,0.016
15803.000,71.000,3573.000,0.969,1.000,9.341,60.099,0.174,0.176,-0.760,-1.727,0.261,0.633,0.014
14409.000,56.000,2827.000,1.142,1.000,14.554,54.110,0.029,0.484,-1.980,-0.875,0.154,-0.342,0.005
18574.000,283.000,14159.000,1.079,1.000,-99999.000,42.035,0.266,0.152,1.008,2.833,0.421,0.144,0.014
18574.000,297.000,14894.000,0.987,1.000,37.774,365.295,0.700,0.002,-1.345,-1.590,0.312,0.117,0.008
15677.000,329.000,16486.000,1.010,1.000,471.090,28.315,0.263,0.023,-0.208,-0.146,0.296,0.615,0.020
18510.000,427.000,21391.000,1.211,1.070,0.353,277.734,0.000,0.054,2.617,0.856,0.197,-0.706,0.032
16872.000,19.000,960.000,0.517,1.000,-99999.000,527.034,0.754,0.012,-0.155,-1.822,0.275,0.959,0.073
14685.000,42.000,2131.000,0.976,1.132,16.594,50.982,0.071,0.202,-1.207,-1.145,0.531,0.264,0.018
18937.000,2.000,101.000,0.991,1.000,111.033,545.191,0.171,0.009,0.907,0.502,0.280,0.462,0.020
18937.000,12.000,627.000,1.036,1.083,20.235,1446.624,0.742,0.011,0.109,0.205,0.090,0.920,0.965
18937.000,17.000,856.000,0.869,1.000,29.921,199.470,0.012,0.042,-1.999,-2.378,0.211,-0.423,0.006
15286.000,57.000,2882.000,1.415,1.000,10.749,761.506,0.268,0.142,-0.469,-0.879,0.441,0.811,0.089
15590.000,367.000,18376.000,0.338,1.000,8.987,139.286,0.089,0.077,-1.499,-0.933,0.155,0.019,0.007
17159.000,12.000,649.000,1.118,1.125,1.818,342.321,0.774,0.002,-0.387,-2.355,0.073,0.794,0.025
14259.000,65.000,3269.000,0.755,1.000,10.353,36.803,0.000,0.433,2.075,1.399,0.531,-0.369,0.013
17871.000,295.000,14797.000,0.965,5.843,153.459,141.552,0.018,0.068,-2.027,-0.951,0.068,-0.405,0.009
16588.000,92.000,4638.000,0.998,1.000,31.727,146.366,0.013,0.227,-1.759,-2.030,0.038,-0.295,0.003
16588.000,107.000,5382.000,0.691,1.000,0.276,226.914,0.000,0.079,0.406,0.140,0.112,0.394,0.010
16588.000,180.000,9035.000,1.022,1.324,49.222,124.374,0.076,0.041,-1.220,-1.883,0.130,0.207,0.008
18756.000,116.000,5807.000,0.988,1.000,0.089,922.005,0.000,0.000,0.465,1.254,0.564,0.935,0.065
18265.000,177.000,8880.000,0.745,1.173,88.344,168.985,0.123,0.415,-0.570,-1.983,0.066,0.738,0.020
14186.000,80.000,4032.000,0.891,1.000,20.337,164.779,0.059,0.297,-1.405,-1.591,0.058,0.057,0.005
18577.000,286.000,14305.000,1.002,1.000,15.857,123.628,0.018,0.278,1.677,1.301,0.080,0.021,0.004
14676.000,26.000,1320.000,0.994,0.000,48.852,656.271,0.609,0.002,0.181,0.233,0.055,0.840,0.628
17726.000,175.000,8780.000,1.146,1.000,69.506,89.981,0.053,0.103,-1.157,-1.568,0.209,0.301,0.008
18712.000,395.000,19793.000,1.040,1.166,12.343,168.175,0.000,0.012,-0.906,-2.092,0.234,0.448,0.005
18492.000,507.000,25374.000,0.768,1.000,14.107,94.241,0.205,0.356,0.494,2.721,0.452,0.575,0.020
17667.000,270.000,13532.000,0.596,1.165,29.481,49.963,0.052,0.250,0.938,0.983,0.167,0.629,0.016
15316.000,149.000,7494.000,1.086,1.000,29.354,714.380,0.000,0.017,0.223,1.497,0.047,0.991,0.008
14626.000,149.000,7476.000,1.054,5.498,-99999.000,213.571,0.297,0.190,0.384,0.223,0.176,0.564,0.040
16878.000,117.000,5859.000,1.053,1.000,-99999.000,146.737,0.182,0.112,-1.032,-1.790,0.200,0.396,0.007
18248.000,8.000,443.000,1.012,0.965,13.715,243.647,0.256,0.057,2.744,2.345,0.101,-0.844,0.025
18248.000,8.000,444.000,1.066,1.000,37.547,392.448,0.157,0.017,-1.094,-1.310,0.319,0.369,0.005
17271.000,169.000,8484.000,0.649,1.000,7.370,38.402,0.027,0.385,-1.596,-0.943,0.085,-0.060,0.002
18928.000,149.000,7452.000,0.563,0.003,42.556,133.514,0.232,0.073,2.541,2.282,0.209,-0.716,0.035
14824.000,314.000,15701.000,0.236,1.278,14.951,421.453,0.716,0.137,0.798,0.998,0.114,0.731,0.022
14205.000,9.000,499.000,0.587,1.000,13.264,210.250,0.148,0.017,2.142,0.476,0.086,-0.166,0.012
18615.000,495.000,24753.000,1.011,1.000,-99999.000,754.213,0.586,0.000,-0.000,-0.000,0.298,0.818,0.757
15140.000,177.000,8862.000,0.399,1.000,0.201,213.578,0.000,0.010,-2.530,-0.363,0.103,-0.416,0.021
15140.000,205.000,10253.000,0.951,0.001,32.502,559.316,0.185,0.012,-0.570,-1.832,0.178,0.758,0.010
14306.000,219.000,10959.000,1.225,1.177,65.093,1605.225,0.858,0.012,-0.062,-0.271,0.017,0.976,0.014
15511.000,42.000,2137.000,0.977,1.000,0.344,403.155,0.280,0.375,1.588,2.012,0.391,0.047,0.005
17965.000,41.000,2090.000,1.045,1.000,44.915,809.937,0.993,0.004,-0.178,-2.735,0.190,0.854,0.059
17965.000,188.000,9447.000,0.527,0.000,43.349,920.787,0.606,0.004,-0.069,-0.086,0.125,0.815,0.632
14383.000,43.000,2170.000,1.043,1.000,23.101,147.547,0.020,0.125,-2.006,-0.607,0.272,-0.250,0.008
14383.000,43.000,2194.000,1.040,1.147,17.277,85.494,0.191,0.059,0.847,2.388,0.193,0.526,0.007
18765.000,238.000,11935.000,0.415,1.000,50.213,703.839,0.971,0.026,0.013,0.037,0.377,0.963,0.575
14631.000,58.000,2913.000,1.010,1.000,60.715,321.791,0.044,0.001,-1.271,-0.429,0.054,0.154,0.014
14631.000,171.000,8576.000,0.981,1.000,74.850,32.299,0.090,0.441,1.486,1.982,0.105,0.143,0.003
17961.000,8.000,406.000,0.821,1.000,0.158,87.516,0.000,0.002,-0.287,-0.145,0.266,0.493,0.018
16113.000,104.000,5204.000,0.916,1.235,37.678,579.589,0.165,0.007,0.230,1.379,0.063,0.992,0.023
17765.000,13.000,659.000,0.959,1.000,119.059,897.662,0.995,0.146,0.025,0.052,0.107,0.933,0.992
18059.000,3.000,182.000,1.193,1.000,70.921,232.540,0.644,0.020,0.142,2.935,0.169,0.782,0.073
18059.000,3.000,184.000,0.232,1.164,0.581,278.980,0.000,0.040,0.160,2.600,0.239,0.942,0.034
17975.000,126.000,6310.000,1.021,1.000,65.097,790.585,0.905,0.040,-0.352,-0.692,0.228,0.855,0.317
