run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
15843.000,6.000,328.000,-0.000,-14622437014834134384640.000,46.469,44.192,0.062,0.106,-1.335,-1.212,0.222,0.147,0.003
16864.000,71.000,3560.000,-0.000,-14622437014834134384640.000,5.251,32.123,0.008,0.182,1.767,1.690,0.179,-0.098,0.002
16864.000,91.000,4552.000,-0.000,-14622437014834134384640.000,0.701,84.940,0.000,0.109,1.375,1.714,0.071,0.283,0.005
17129.000,34.000,1725.000,-0.000,-14622437014834134384640.000,30.371,152.029,0.646,0.290,-0.311,-0.522,0.074,0.841,0.246
16795.000,139.000,6960.000,-0.000,-14622437014834134384640.000,8.068,547.024,0.469,0.003,0.850,1.228,0.031,0.729,0.007
18514.000,446.000,22330.000,-0.000,-14622437014834134384640.000,18.331,54.079,0.463,0.260,0.471,2.646,0.435,0.662,0.026
15771.000,23.000,1183.000,-0.000,-14622437014834134384640.000,16.379,329.367,0.942,0.110,0.084,0.395,0.188,0.993,0.638
18010.000,62.000,3111.000,-0.000,-14622437014834134384640.000,30.656,280.584,0.113,0.019,-2.690,-2.135,0.072,-0.925,0.058
18010.000,62.000,3113.000,-0.000,-14622437014834134384640.000,83.954,8.807,0.024,0.195,0.634,3.064,0.305,0.033,0.006
17237.000,337.000,16865.000,-0.000,-14622437014834134384640.000,0.057,125.631,0.000,0.025,0.156,2.943,0.229,0.740,0.020
15775.000,25.000,1277.000,-0.000,-14622437014834134384640.000,9.473,472.674,0.986,0.004,0.381,0.948,0.127,0.948,0.232
17834.000,48.000,2447.000,-0.000,-14622437014834134384640.000,9.324,170.497,0.683,0.169,-0.175,-3.052,0.121,0.369,0.009
17753.000,174.000,8735.000,-0.000,-14622437014834134384640.000,-99999.000,113.896,0.347,0.094,0.726,0.374,0.127,0.481,0.036
16186.000,325.000,16287.000,-0.000,-14622437014834134384640.000,8.890,180.194,0.510,0.075,0.716,0.407,0.515,0.514,0.031
16493.000,94.000,4713.000,-0.000,-14622437014834134384640.000,38.318,232.869,0.163,0.004,-0.831,-0.833,0.071,0.533,0.010
17594.000,34.000,1748.000,-0.000,-14622437014834134384640.000,44.391,25.149,0.095,0.101,1.161,1.226,0.204,0.492,0.006
17594.000,75.000,3753.000,-0.000,-14622437014834134384640.000,0.144,204.380,0.000,0.285,-0.167,-0.093,0.031,0.537,0.006
17354.000,36.000,1850.000,-0.000,-14622437014834134384640.000,0.217,91.528,0.000,0.005,-2.230,-1.991,0.299,-0.678,0.049
17591.000,30.000,1503.000,-0.000,-14622437014834134384640.000,26.040,135.594,0.260,0.124,0.956,2.770,0.132,0.212,0.005
17591.000,119.000,5989.000,-0.000,-14622437014834134384640.000,0.199,114.996,0.000,0.046,0.400,0.769,0.117,0.915,0.198
18935.000,359.000,17968.000,-0.000,-14622437014834134384640.000,-99999.000,572.418,0.915,0.068,0.695,0.598,0.087,0.658,0.146
14224.000,63.000,3177.000,-0.000,-14622437014834134384640.000,31.276,1627.744,0.938,0.020,-0.748,-1.688,0.118,0.646,0.012
17126.000,116.000,5802.000,-0.000,-14622437014834134384640.000,24.364,854.947,0.000,0.006,-1.297,-2.567,0.182,0.027,0.005
17633.000,19.000,964.000,-0.000,-14622437014834134384640.000,15.824,48.602,0.208,0.295,-0.765,-2.498,0.102,0.418,0.003
17633.000,19.000,999.000,-0.000,-14622437014834134384640.000,-99999.000,24.476,0.021,0.439,1.899,1.433,0.256,-0.207,0.003
17633.000,31.000,1555.000,-0.000,-14622437014834134384640.000,122.871,148.228,0.060,0.457,-3.117,-0.074,0.348,-0.916,0.139
17137.000,178.000,8918.000,-0.000,-14622437014834134384640.000,68.710,1120.188,0.996,0.012,0.005,0.028,0.159,0.990,0.483
16378.000,138.000,6906.000,-0.000,-14622437014834134384640.000,5.431,985.624,0.000,0.010,-0.338,-0.938,0.176,0.893,0.046
17989.000,128.000,6443.000,-0.000,-14622437014834134384640.000,26.054,181.509,0.053,0.189,2.686,2.611,0.021,-0.723,0.024
14146.000,6.000,319.000,-0.000,-14622437014834134384640.000,5.336,98.072,0.067,0.087,-1.299,-1.072,0.097,0.182,0.010
14146.000,9.000,487.000,-0.000,-14622437014834134384640.000,98.632,865.179,0.216,0.006,1.015,1.347,0.308,0.617,0.021
18014.000,38.000,1914.000,-0.000,-14622437014834134384640.000,16.250,59.774,0.014,0.461,-1.137,-0.945,0.580,0.311,0.022
15794.000,170.000,8539.000,-0.000,-14622437014834134384640.000,25.259,17.654,0.042,0.414,1.442,0.909,0.195,0.232,0.003
18701.000,87.000,4385.000,-0.000,-14622437014834134384640.000,21.992,6.719,0.013,0.462,-0.028,-0.016,0.425,0.560,0.015
17990.000,98.000,4927.000,-0.000,-14622437014834134384640.000,4.131,95.940,0.152,0.329,1.644,1.983,0.232,-0.001,0.005
17990.000,307.000,15376.000,-0.000,-14622437014834134384640.000,33.686,352.197,0.036,0.003,-0.535,-0.188,0.164,0.353,0.021
17037.000,0.000,32.000,-0.000,-14622437014834134384640.000,14.595,427.835,0.012,0.474,0.341,2.465,0.401,0.864,0.015
17037.000,19.000,977.000,-0.000,-14622437014834134384640.000,34.482,482.840,0.052,0.083,-1.358,-1.745,0.549,0.091,0.013
17037.000,42.000,2127.000,-0.000,-14622437014834134384640.000,13.928,183.516,0.032,0.161,-1.317,-2.061,0.039,0.094,0.003
18663.000,72.000,3608.000,-0.000,-14622437014834134384640.000,0.115,1182.348,0.000,0.015,-2.488,-0.618,0.238,-0.595,0.012
18639.000,119.000,5996.000,-0.000,-14622437014834134384640.000,32.141,22.080,0.165,0.072,-0.533,-0.616,0.224,0.696,0.019
18527.000,363.000,18152.000,-0.000,-14622437014834134384640.000,38.996,878.506,0.706,0.008,0.347,0.726,0.033,0.932,0.159
18527.000,363.000,18169.000,-0.000,-14622437014834134384640.000,24.552,115.456,0.383,0.061,0.776,2.022,0.156,0.715,0.020
16835.000,4.000,221.000,-0.000,-14622437014834134384640.000,7.994,787.403,0.000,0.000,1.330,1.669,0.482,0.330,0.006
16835.000,204.000,10234.000,-0.000,-14622437014834134384640.000,16.490,421.509,0.479,0.008,-0.280,-1.682,0.168,0.921,0.036
14555.000,262.000,13121.000,-0.000,-14622437014834134384640.000,5.779,48.702,0.063,0.271,0.500,0.682,0.192,0.833,0.099
16960.000,49.000,2500.000,-0.000,-14622437014834134384640.000,5.104,48.152,0.488,0.141,-1.878,-2.881,0.228,-0.184,0.007
15603.000,26.000,1328.000,-0.000,-14622437014834134384640.000,6.136,310.782,0.177,0.010,1.580,2.462,0.109,-0.000,0.003
15846.000,163.000,8156.000,-0.000,-14622437014834134384640.000,0.328,327.310,0.000,0.011,-0.093,-0.221,0.301,0.933,0.876
17985.000,196.000,9843.000,-0.000,-14622437014834134384640.000,5.041,454.595,0.968,0.281,0.369,1.482,0.468,0.965,0.030
15458.000,1.000,69.000,-0.000,-14622437014834134384640.000,5.966,270.374,0.260,0.010,0.568,0.414,0.169,0.626,0.054
16733.000,28.000,1444.000,-0.000,-14622437014834134384640.000,119.727,20.151,0.229,0.105,-0.480,-1.489,0.586,0.833,0.077
16733.000,101.000,5074.000,-0.000,-14622437014834134384640.000,185.109,325.497,0.874,0.085,0.360,1.246,0.479,0.968,0.166
15410.000,156.000,7824.000,-0.000,-14622437014834134384640.000,-99999.000,786.631,0.375,0.000,0.387,0.479,0.105,0.822,0.566
18708.000,61.000,3086.000,-0.000,-14622437014834134384640.000,22.300,17.400,0.005,0.497,-1.226,-0.996,0.209,0.242,0.003
17383.000,165.000,8298.000,-0.000,-14622437014834134384640.000,9.435,2032.735,0.826,0.000,0.200,0.401,0.137,0.932,0.666
15689.000,138.000,6909.000,-0.000,-14622437014834134384640.000,-99999.000,97.481,0.427,0.276,-1.054,-1.509,0.220,0.401,0.009
14609.000,72.000,3616.000,-0.000,-14622437014834134384640.000,18.228,76.704,0.062,0.286,-1.010,-1.394,0.261,0.444,0.006
14609.000,118.000,5910.000,-0.000,-14622437014834134384640.000,27.341,175.071,0.280,0.049,1.278,1.732,0.629,0.371,0.014
14315.000,45.000,2293.000,-0.000,-14622437014834134384640.000,19.827,34.074,0.015,0.355,-1.424,-2.129,0.107,-0.008,0.002
17631.000,41.000,2061.000,-0.000,-14622437014834134384640.000,12.471,506.065,0.131,0.143,1.211,1.637,0.130,0.442,0.004
15463.000,211.000,10560.000,-10587071020017909760.000,0.000,43.462,111.302,0.022,0.154,-1.053,-1.328,0.080,0.406,0.005
17860.000,5.000,297.000,-0.000,-14622437014834134384640.000,18.678,145.960,0.228,0.399,-0.856,-2.486,0.160,0.351,0.005
15910.000,7.000,354.000,-0.000,-14622437014834134384640.000,21.818,1232.814,0.643,0.001,-0.029,-0.043,0.120,0.863,0.884
17592.000,25.000,1282.000,-0.000,-14622437014834134384640.000,19.829,190.208,0.078,0.312,-0.894,-0.839,0.029,0.486,0.006
15319.000,2.000,128.000,-0.000,-14622437014834134384640.000,5.316,98.448,0.158,0.067,1.243,0.674,0.097,0.331,0.009
15097.000,210.000,10545.000,-0.000,-14622437014834134384640.000,42.709,78.698,0.037,0.375,2.223,2.045,0.036,-0.509,0.004
