run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
18244.000,342.000,17103.000,-0.000,-14622437014834134384640.000,49.941,162.279,0.023,0.450,0.797,1.579,0.026,0.768,0.019
16150.000,175.000,8788.000,-0.000,-14622437014834134384640.000,9.027,492.576,0.761,0.039,0.450,2.231,0.137,0.864,0.014
14592.000,67.000,3369.000,-0.000,-14622437014834134384640.000,92.739,135.555,0.034,0.487,1.023,2.024,0.061,0.530,0.006
14592.000,82.000,4123.000,-0.000,-14622437014834134384640.000,18.529,97.912,0.012,0.368,-1.199,-1.911,0.107,0.223,0.003
17415.000,270.000,13547.000,-0.000,-14622437014834134384640.000,22.766,436.769,0.130,0.002,1.107,0.750,0.112,0.443,0.008
18685.000,393.000,19667.000,-0.000,-14622437014834134384640.000,44.057,857.098,0.961,0.004,0.264,0.191,0.192,0.650,0.175
15464.000,142.000,7125.000,-0.000,-14622437014834134384640.000,27.165,65.104,0.050,0.325,1.472,1.252,0.154,0.218,0.007
16726.000,45.000,2251.000,-0.000,-14622437014834134384640.000,26.215,475.033,0.838,0.002,-0.383,-0.545,0.119,0.790,0.358
17865.000,228.000,11407.000,8999705084904618173481567605466595328.000,-1964791883357390372864.000,289.524,530.192,0.185,0.004,0.398,0.746,0.110,0.911,0.379
17865.000,228.000,11441.000,8999705084904618173481567605466595328.000,-1964791883357390372864.000,0.620,115.927,0.000,0.031,-0.344,-0.849,0.192,0.883,0.123
14248.000,4.000,201.000,-0.000,-14622437014834134384640.000,105.435,43.115,0.017,0.288,-1.057,-1.912,0.197,0.354,0.002
14248.000,6.000,321.000,-0.000,-14622437014834134384640.000,53.703,182.508,0.081,0.173,1.221,2.439,0.034,0.235,0.004
14248.000,11.000,551.000,-0.000,-14622437014834134384640.000,130.008,293.573,0.265,0.052,-1.078,-1.863,0.527,0.343,0.013
14534.000,43.000,2163.000,-0.000,-14622437014834134384640.000,0.163,61.337,0.000,0.053,1.367,1.852,0.411,0.271,0.007
18248.000,8.000,443.000,-0.000,-14622437014834134384640.000,13.639,261.737,0.239,0.025,2.710,2.328,0.105,-0.825,0.035
18248.000,8.000,444.000,-0.000,-14622437014834134384640.000,37.547,392.593,0.157,0.017,-1.094,-1.310,0.319,0.369,0.005
17109.000,107.000,5383.000,-0.000,-14622437014834134384640.000,17.999,71.178,0.158,0.045,0.934,1.495,0.281,0.678,0.019
14439.000,20.000,1004.000,-0.000,-14622437014834134384640.000,14.032,640.613,0.801,0.006,-0.025,-0.096,0.301,0.976,0.328
16872.000,19.000,960.000,-14747.215,-2344335872.000,-99999.000,222.021,0.910,0.118,-0.138,-1.108,0.123,0.970,0.108
17237.000,155.000,7770.000,-0.000,-14622437014834134384640.000,12.243,126.216,0.143,0.080,0.613,0.507,0.248,0.663,0.047
17990.000,399.000,19994.000,-0.000,-14622437014834134384640.000,6.287,236.752,0.439,0.005,0.613,1.271,0.140,0.872,0.058
14708.000,5.000,268.000,-0.000,-14622437014834134384640.000,4.895,80.418,0.045,0.126,-2.372,-2.580,0.198,-0.586,0.010
14708.000,32.000,1610.000,-0.000,-14622437014834134384640.000,11.730,39.897,0.047,0.298,1.338,1.688,0.294,0.321,0.002
15928.000,69.000,3475.000,-0.000,-14622437014834134384640.000,39.391,127.220,0.037,0.446,0.982,2.714,0.033,0.237,0.003
18010.000,62.000,3113.000,-0.000,-14622437014834134384640.000,83.954,8.813,0.024,0.195,0.634,3.064,0.305,0.033,0.006
18010.000,149.000,7478.000,-0.000,-14622437014834134384640.000,21.517,545.376,0.358,0.042,0.910,0.929,0.218,0.636,0.037
18692.000,181.000,9097.000,-0.000,-14622437014834134384640.000,8.778,459.464,0.999,0.025,0.300,0.749,0.111,0.956,0.713
18676.000,383.000,19168.000,-0.000,-14622437014834134384640.000,41.715,441.718,0.420,0.149,0.891,2.031,0.702,0.630,0.028
18492.000,507.000,25374.000,-0.000,-14622437014834134384640.000,13.722,100.150,0.252,0.078,0.150,3.033,0.195,0.526,0.006
15961.000,473.000,23694.000,-0.000,-14622437014834134384640.000,0.117,2220.296,0.106,0.003,0.744,0.937,0.114,0.753,0.030
18786.000,34.000,1709.000,-0.000,-14622437014834134384640.000,0.168,432.489,0.169,0.066,0.328,0.879,0.436,0.960,0.200
18753.000,82.000,4110.000,-0.000,-14622437014834134384640.000,-99999.000,44.373,0.040,0.335,-1.137,-1.795,0.225,0.298,0.002
18753.000,174.000,8703.000,-0.000,-14622437014834134384640.000,63.591,13.489,0.077,0.168,-1.009,-2.958,0.262,0.017,0.004
17965.000,41.000,2090.000,-0.000,-14622437014834134384640.000,44.906,841.754,0.999,0.006,-0.149,-2.787,0.199,0.865,0.050
17965.000,188.000,9447.000,-0.000,-14622437014834134384640.000,43.334,901.788,0.628,0.044,-0.027,-0.038,0.151,0.846,0.894
18059.000,139.000,6984.000,-0.000,-14622437014834134384640.000,84.022,142.261,0.303,0.350,1.029,0.289,0.041,0.272,0.024
16331.000,102.000,5141.000,-0.000,-14622437014834134384640.000,59.576,255.448,0.828,0.030,-0.077,-2.918,0.173,0.904,0.135
14516.000,53.000,2685.000,-0.000,-14622437014834134384640.000,27.008,82.498,0.011,0.057,-1.241,-1.374,0.099,0.232,0.009
17960.000,147.000,7359.000,-0.000,-14622437014834134384640.000,-99999.000,66.151,0.421,0.313,-0.237,-0.088,0.150,0.404,0.023
14980.000,95.000,4765.000,-0.000,-14622437014834134384640.000,36.789,591.631,0.160,0.161,-0.508,-0.776,0.007,0.765,0.014
18644.000,14.000,704.000,-0.000,-14622437014834134384640.000,48.919,650.004,0.486,0.003,0.386,0.869,0.131,0.937,0.180
18644.000,14.000,722.000,-0.000,-14622437014834134384640.000,95.373,1390.267,0.715,0.008,-0.041,-0.106,0.256,0.948,0.800
14736.000,32.000,1621.000,-0.000,-14622437014834134384640.000,-99999.000,956.457,0.384,0.001,-0.052,-1.980,0.298,0.982,0.012
18639.000,164.000,8229.000,-0.000,-14622437014834134384640.000,82.407,75.882,0.066,0.166,0.902,2.073,0.127,0.609,0.034
17726.000,69.000,3452.000,-0.000,-14622437014834134384640.000,26.708,766.642,0.990,0.291,0.359,1.026,0.125,0.961,0.222
17687.000,10.000,547.000,-0.000,-14622437014834134384640.000,20.450,25.810,0.069,0.390,1.128,1.559,0.322,0.521,0.003
18208.000,25.000,1289.000,-0.000,-14622437014834134384640.000,0.082,135.084,0.035,0.418,0.482,3.026,0.034,0.149,0.002
17171.000,43.000,2175.000,-0.000,-14622437014834134384640.000,55.103,26.698,0.089,0.384,-0.583,-2.709,0.160,0.434,0.003
14914.000,40.000,2030.000,-0.000,-14622437014834134384640.000,8.046,122.701,0.000,0.007,-2.400,-0.788,0.453,-0.622,0.109
18701.000,87.000,4385.000,-0.000,-14622437014834134384640.000,21.992,6.916,0.013,0.415,-0.030,-0.017,0.426,0.555,0.015
15460.000,16.000,836.000,-0.000,-14622437014834134384640.000,-99999.000,2781.621,0.972,0.008,-0.003,-0.013,0.061,0.986,0.217
17592.000,25.000,1282.000,-0.000,-14622437014834134384640.000,19.828,197.016,0.090,0.312,-0.894,-0.839,0.029,0.487,0.006
17592.000,137.000,6891.000,-0.000,-14622437014834134384640.000,0.161,35.313,0.000,0.009,-0.772,-1.346,0.464,0.641,0.021
16230.000,47.000,2392.000,-0.000,-14622437014834134384640.000,0.191,1335.259,0.000,0.001,-0.339,-0.870,0.249,0.887,0.050
16676.000,56.000,2821.000,-14747.215,-2344335872.000,12.299,37.734,0.985,0.230,0.030,0.118,0.392,0.982,0.377
17871.000,21.000,1090.000,-0.000,-14622437014834134384640.000,5.152,352.268,0.957,0.002,-0.397,-0.708,0.135,0.828,0.288
18732.000,332.000,16633.000,-0.000,-14622437014834134384640.000,0.150,927.900,0.000,0.285,-0.390,-0.829,0.351,0.853,0.040
14722.000,109.000,5472.000,-0.000,-14622437014834134384640.000,4.080,113.220,0.284,0.049,0.930,2.799,0.248,0.204,0.007
14722.000,211.000,10551.000,-0.000,-14622437014834134384640.000,9.246,159.081,0.068,0.012,1.225,2.089,0.059,0.347,0.004
17681.000,4.000,208.000,-0.000,-14622437014834134384640.000,30.950,1074.552,0.993,0.002,0.083,0.410,0.221,0.994,0.563
15915.000,220.000,11011.000,-0.000,-14622437014834134384640.000,19.221,88.391,0.797,0.073,-2.935,-1.048,0.322,-0.976,0.105
14686.000,77.000,3875.000,-0.000,-14622437014834134384640.000,96.534,162.560,0.000,0.231,0.461,1.269,0.061,0.937,0.044
18708.000,61.000,3086.000,-0.000,-14622437014834134384640.000,22.300,17.399,0.005,0.497,-1.226,-0.996,0.209,0.242,0.003
18708.000,95.000,4789.000,-0.000,-14622437014834134384640.000,13.759,569.532,0.907,0.319,0.126,0.242,0.285,0.924,0.887
17666.000,128.000,6414.000,-0.000,-14622437014834134384640.000,6.256,90.749,0.064,0.397,-1.458,-1.416,0.127,0.018,0.007
18010.000,49.000,2488.000,-0.000,-14622437014834134384640.000,26.108,525.189,0.218,0.001,1.173,0.656,0.132,0.369,0.010
16551.000,92.000,4631.000,-0.000,-14622437014834134384640.000,81.661,40.514,0.087,0.411,-0.790,-2.133,0.153,0.536,0.003
18615.000,495.000,24753.000,-0.000,-14622437014834134384640.000,-99999.000,779.196,0.914,0.004,0.108,0.146,0.253,0.851,0.960
15238.000,147.000,7371.000,-0.000,-14622437014834134384640.000,17.710,135.414,0.477,0.182,-3.076,-2.933,0.078,-0.975,0.288
16150.000,244.000,12221.000,-14747.215,-2344335872.000,12.502,44.890,0.120,0.167,-2.976,-2.549,0.308,-0.985,0.056
16150.000,306.000,15320.000,-14747.215,-2344335872.000,79.259,771.547,0.990,0.035,0.055,0.131,0.212,0.949,0.986
18617.000,20.000,1012.000,-0.000,-14622437014834134384640.000,143.586,83.413,0.009,0.098,-1.349,-1.379,0.155,0.127,0.006
18232.000,19.000,955.000,-0.000,-14622437014834134384640.000,67.042,262.565,0.010,0.013,-1.577,-1.660,0.034,-0.119,0.006
15867.000,126.000,6339.000,-0.000,-14622437014834134384640.000,22.949,73.179,0.025,0.481,-1.120,-2.163,0.180,0.247,0.007
16979.000,6.000,341.000,-0.000,-14622437014834134384640.000,64.726,17.342,0.044,0.281,0.328,1.445,0.247,0.975,0.023
18495.000,88.000,4427.000,-0.000,-14622437014834134384640.000,-99999.000,175.708,0.331,0.001,-1.751,-1.284,0.047,-0.248,0.008
14878.000,7.000,359.000,-0.000,-14622437014834134384640.000,41.969,408.964,0.000,0.001,-0.036,-0.019,0.153,0.532,0.049
15312.000,41.000,2089.000,-0.000,-14622437014834134384640.000,35.477,202.164,0.615,0.114,0.250,0.105,0.138,0.459,0.048
16468.000,152.000,7620.000,-0.000,-14622437014834134384640.000,0.150,314.526,0.000,0.148,-1.481,-1.771,0.438,-0.032,0.011
14342.000,134.000,6710.000,-0.000,-14622437014834134384640.000,54.937,173.775,0.012,0.390,-1.363,-1.773,0.062,0.083,0.004
14306.000,69.000,3469.000,-0.000,-14622437014834134384640.000,-99999.000,174.331,0.797,0.035,-0.208,-1.979,0.067,0.937,0.077
14306.000,69.000,3475.000,-0.000,-14622437014834134384640.000,7.359,102.959,0.003,0.252,1.932,1.288,0.117,-0.221,0.005
14306.000,121.000,6090.000,-0.000,-14622437014834134384640.000,26.378,191.080,0.347,0.056,0.633,0.589,0.037,0.698,0.144
16769.000,142.000,7134.000,-0.000,-14622437014834134384640.000,7.696,48.159,0.048,0.164,-0.885,-0.249,0.538,0.245,0.014
15801.000,11.000,600.000,-0.000,-14622437014834134384640.000,65.120,167.212,0.000,0.073,-0.749,-1.126,0.668,0.646,0.066
15801.000,524.000,26205.000,-0.000,-14622437014834134384640.000,28.967,333.938,0.104,0.005,0.657,0.729,0.172,0.746,0.119
17633.000,19.000,999.000,-0.000,-14622437014834134384640.000,-99999.000,25.352,0.022,0.441,1.907,1.432,0.256,-0.215,0.003
18229.000,25.000,1288.000,-0.000,-14622437014834134384640.000,12.226,45.551,0.036,0.132,1.175,0.864,0.144,0.426,0.003
17383.000,351.000,17564.000,-0.000,-14622437014834134384640.000,9.275,222.345,0.022,0.110,1.605,2.236,0.069,0.008,0.003
14716.000,120.000,6043.000,-0.000,-14622437014834134384640.000,9.199,120.743,0.000,0.020,-0.483,-1.562,0.126,0.829,0.016
17536.000,16.000,808.000,-0.000,-14622437014834134384640.000,100.742,309.670,0.457,0.038,-0.472,-1.941,0.407,0.808,0.052
17249.000,268.000,13450.000,-0.000,-14622437014834134384640.000,80.626,50.164,0.580,0.139,-0.383,-1.747,0.283,0.873,0.021
16955.000,50.000,2518.000,-0.000,-14622437014834134384640.000,18.268,245.675,0.090,0.043,-2.688,-0.802,0.062,-0.832,0.024
14369.000,88.000,4413.000,-0.000,-14622437014834134384640.000,111.309,540.449,0.000,0.009,-0.776,-1.547,0.365,0.634,0.013
14369.000,108.000,5414.000,-0.000,-14622437014834134384640.000,10.390,1131.441,0.196,0.034,0.067,0.248,0.061,0.983,0.140
17763.000,22.000,1104.000,-0.000,-14622437014834134384640.000,14.117,611.407,0.827,0.000,0.835,1.451,0.523,0.748,0.015
14939.000,109.000,5459.000,-0.000,-14622437014834134384640.000,45.931,698.996,0.122,0.012,0.301,0.236,0.096,0.677,0.058
14467.000,120.000,6010.000,-0.000,-14622437014834134384640.000,137.179,422.835,0.861,0.070,0.481,1.765,0.125,0.917,0.045
14467.000,120.000,6036.000,-0.000,-14622437014834134384640.000,13.402,39.304,0.227,0.328,-0.626,-2.163,0.310,0.661,0.004
14410.000,181.000,9073.000,-0.000,-14622437014834134384640.000,0.826,573.772,0.467,0.022,0.366,0.943,0.316,0.953,0.126
14410.000,181.000,9088.000,-0.000,-14622437014834134384640.000,138.237,129.231,0.315,0.070,-0.335,-2.936,0.144,0.416,0.015
17352.000,186.000,9301.000,-0.000,-14622437014834134384640.000,45.203,606.173,0.000,0.001,-1.533,-1.503,0.493,-0.063,0.016
15238.000,148.000,7427.000,-0.000,-14622437014834134384640.000,17.269,352.999,0.993,0.044,-0.388,-0.525,0.241,0.778,0.550
16134.000,391.000,19591.000,-0.000,-14622437014834134384640.000,83.284,50.037,0.238,0.297,0.663,2.849,0.175,0.302,0.009
18057.000,73.000,3694.000,-0.000,-14622437014834134384640.000,-99999.000,84.002,0.021,0.355,0.859,1.370,0.302,0.731,0.021
14375.000,162.000,8143.000,-0.000,-14622437014834134384640.000,21.765,166.543,0.525,0.452,-0.354,-2.757,0.092,0.627,0.021
16878.000,117.000,5859.000,-0.000,-14622437014834134384640.000,-99999.000,146.738,0.182,0.112,-1.032,-1.790,0.200,0.396,0.007
14768.000,118.000,5906.000,-0.000,-14622437014834134384640.000,11.035,62.538,0.651,0.498,-0.119,-0.738,0.108,0.974,0.129
16203.000,154.000,7747.000,-0.000,-14622437014834134384640.000,-99999.000,120.490,0.036,0.050,2.316,2.707,0.061,-0.384,0.005
15697.000,19.000,987.000,-0.000,-14622437014834134384640.000,31.213,126.486,0.064,0.418,1.338,1.124,0.079,0.334,0.009
14623.000,56.000,2811.000,-0.000,-14622437014834134384640.000,0.007,47.849,0.000,0.300,1.306,2.109,0.118,0.274,0.002
14623.000,300.000,15001.000,-0.000,-14622437014834134384640.000,22.358,1105.600,0.661,0.000,0.036,0.016,0.069,0.486,0.029
16573.000,194.000,9734.000,-0.000,-14622437014834134384640.000,50.752,411.619,0.162,0.001,-0.896,-2.382,0.121,0.364,0.004
14191.000,126.000,6345.000,-0.000,-14622437014834134384640.000,16.537,19.545,0.105,0.494,0.114,0.632,0.214,0.997,0.028
16216.000,26.000,1315.000,-0.000,-14622437014834134384640.000,0.136,174.169,0.000,0.036,0.457,1.373,0.120,0.940,0.060
17614.000,43.000,2174.000,-0.000,-14622437014834134384640.000,5.629,66.110,0.050,0.388,0.619,1.443,0.317,0.872,0.051
16209.000,419.000,20968.000,-0.000,-14622437014834134384640.000,6.844,1582.682,0.118,0.023,-0.519,-1.693,0.074,0.802,0.005
17517.000,110.000,5526.000,-0.000,-14622437014834134384640.000,15.636,240.556,0.135,0.044,0.594,2.088,0.207,0.815,0.017
