run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
16196.000,208.000,10421.000,-0.000,-14622437014834134384640.000,-99999.000,38.855,0.042,0.394,-0.955,-1.261,0.125,0.490,0.002
18673.000,144.000,7217.000,-0.000,-14622437014834134384640.000,59.719,1210.058,0.000,0.043,0.094,0.257,0.088,0.965,0.601
17256.000,50.000,2541.000,-0.000,-14622437014834134384640.000,48.832,109.412,0.035,0.051,-1.240,-2.144,0.252,0.148,0.006
17965.000,41.000,2090.000,-0.000,-14622437014834134384640.000,44.916,791.469,0.995,0.010,-0.171,-2.747,0.238,0.858,0.050
17965.000,188.000,9447.000,-0.000,-14622437014834134384640.000,43.360,908.328,0.580,0.005,-0.070,-0.087,0.126,0.814,0.632
15689.000,138.000,6909.000,-0.000,-14622437014834134384640.000,-99999.000,97.481,0.427,0.276,-1.054,-1.509,0.220,0.401,0.009
17671.000,141.000,7097.000,-0.000,-14622437014834134384640.000,-99999.000,267.950,0.238,0.087,-0.073,-2.117,0.178,0.976,0.077
15870.000,256.000,12806.000,-0.000,-14622437014834134384640.000,27.734,26.095,0.093,0.271,-1.198,-2.137,0.126,0.186,0.003
15870.000,279.000,13962.000,-0.000,-14622437014834134384640.000,12.622,462.683,0.000,0.087,-1.450,-1.530,0.638,0.017,0.011
15360.000,74.000,3721.000,-0.000,-14622437014834134384640.000,30.303,146.530,0.120,0.031,0.699,1.439,0.117,0.831,0.070
17406.000,3.000,163.000,-0.000,-14622437014834134384640.000,6.509,183.390,0.026,0.439,1.149,0.267,0.033,0.220,0.005
17341.000,37.000,1893.000,-0.000,-14622437014834134384640.000,25.931,80.717,0.150,0.185,-1.787,-1.083,0.163,-0.245,0.012
17341.000,40.000,2008.000,-0.000,-14622437014834134384640.000,11.585,65.075,0.042,0.316,-1.261,-1.254,0.111,0.216,0.005
15462.000,155.000,7792.000,-0.000,-14622437014834134384640.000,9.675,61.989,0.032,0.458,2.252,2.260,0.158,-0.499,0.004
18021.000,712.000,35640.000,-0.000,-14622437014834134384640.000,16.892,54.651,0.261,0.329,1.436,0.309,0.154,0.148,0.006
