run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
15466.000,159.000,7987.000,-0.000,-14622437014834134384640.000,23.840,58.504,0.057,0.118,-1.637,-1.735,0.279,-0.182,0.006
18228.000,191.000,9585.000,-0.000,-14622437014834134384640.000,7.064,206.854,0.227,0.032,-0.268,-0.498,0.107,0.869,0.241
18937.000,2.000,105.000,-0.000,-14622437014834134384640.000,6.084,75.732,0.069,0.496,1.269,0.655,0.371,0.309,0.012
18937.000,12.000,627.000,-0.000,-14622437014834134384640.000,20.121,1504.430,0.713,0.020,0.109,0.205,0.090,0.920,0.960
18937.000,17.000,856.000,-0.000,-14622437014834134384640.000,29.921,203.315,0.012,0.041,-1.999,-2.378,0.211,-0.423,0.006
15111.000,159.000,7986.000,-0.000,-14622437014834134384640.000,19.210,378.268,0.183,0.002,-0.912,-1.033,0.087,0.506,0.008
16509.000,226.000,11326.000,-0.000,-14622437014834134384640.000,0.150,501.832,0.000,0.006,0.560,1.887,0.100,0.869,0.022
18928.000,149.000,7452.000,-0.000,-14622437014834134384640.000,42.556,133.514,0.232,0.073,2.541,2.282,0.209,-0.716,0.035
15843.000,6.000,328.000,-0.000,-14622437014834134384640.000,46.469,44.192,0.062,0.106,-1.335,-1.212,0.222,0.147,0.003
18028.000,98.000,4937.000,-0.000,-14622437014834134384640.000,48.019,263.797,0.000,0.479,-1.431,-1.343,0.057,0.050,0.005
16266.000,211.000,10580.000,-0.000,-14622437014834134384640.000,50.582,28.464,0.014,0.053,-1.333,-1.270,0.349,0.147,0.003
16874.000,2.000,109.000,-0.000,-14622437014834134384640.000,-99999.000,65.677,0.293,0.094,-1.604,-0.391,0.289,0.020,0.024
14367.000,295.000,14778.000,-0.000,-14622437014834134384640.000,14.903,1326.614,0.592,0.014,0.763,2.627,0.201,0.439,0.005
16495.000,19.000,981.000,-0.000,-14622437014834134384640.000,15.618,788.623,0.760,0.048,0.498,1.019,0.078,0.907,0.046
15121.000,2.000,122.000,-0.000,-14622437014834134384640.000,-99999.000,58.670,0.082,0.467,2.654,2.000,0.120,-0.824,0.017
14623.000,187.000,9379.000,-0.000,-14622437014834134384640.000,51.457,1415.811,0.932,0.002,0.247,0.536,0.100,0.943,0.862
17956.000,316.000,15848.000,-0.000,-14622437014834134384640.000,81.382,735.845,0.300,0.057,-1.486,-1.442,0.666,-0.011,0.017
15529.000,321.000,16067.000,-0.000,-14622437014834134384640.000,73.498,195.505,0.017,0.130,-1.623,-1.410,0.097,-0.143,0.007
16215.000,23.000,1182.000,-0.000,-14622437014834134384640.000,46.387,28.955,0.049,0.088,-2.360,-2.236,0.351,-0.720,0.014
15877.000,131.000,6559.000,-0.000,-14622437014834134384640.000,12.471,29.802,0.047,0.477,1.553,1.116,0.137,0.146,0.003
17835.000,117.000,5876.000,-0.000,-14622437014834134384640.000,97.447,187.447,0.470,0.032,-0.573,-2.036,0.327,0.727,0.022
18752.000,392.000,19609.000,-0.000,-14622437014834134384640.000,9.526,645.090,0.987,0.027,0.454,0.692,0.201,0.865,0.532
17413.000,176.000,8826.000,-0.000,-14622437014834134384640.000,16.448,90.764,0.135,0.083,0.855,1.498,0.288,0.734,0.013
16378.000,138.000,6906.000,-0.000,-14622437014834134384640.000,5.465,950.533,0.000,0.016,2.836,2.241,0.238,-0.907,0.268
14927.000,193.000,9663.000,-0.000,-14622437014834134384640.000,0.463,101.143,0.000,0.009,-1.241,-1.852,0.299,0.192,0.006
