run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
14770.000,10.000,516.000,-0.000,-14622437014834134384640.000,38.162,1231.479,0.922,0.083,0.033,1.491,0.289,0.994,0.030
15106.000,295.000,14791.000,-0.000,-14622437014834134384640.000,-99999.000,87.877,0.087,0.264,-2.034,-1.986,0.346,-0.530,0.008
17132.000,125.000,6282.000,-0.000,-14622437014834134384640.000,28.783,1197.275,0.864,0.019,-0.129,-0.298,0.057,0.925,0.348
17132.000,477.000,23869.000,-0.000,-14622437014834134384640.000,15.527,150.088,0.000,0.442,-1.153,-1.585,0.675,0.304,0.021
14224.000,63.000,3177.000,-0.000,-14622437014834134384640.000,31.276,1629.072,0.938,0.020,-0.748,-1.688,0.118,0.646,0.012
17226.000,18.000,923.000,-0.000,-14622437014834134384640.000,0.077,357.134,0.000,0.075,1.475,1.343,0.194,0.213,0.005
15361.000,209.000,10477.000,-0.000,-14622437014834134384640.000,0.015,284.157,0.000,0.045,0.185,0.208,0.173,0.802,0.519
15312.000,22.000,1110.000,-0.000,-14622437014834134384640.000,-99999.000,84.170,0.005,0.150,-0.998,-1.393,0.144,0.455,0.005
14131.000,11.000,594.000,-0.000,-14622437014834134384640.000,29.700,87.274,0.105,0.044,-1.170,-1.232,0.274,0.299,0.010
17857.000,27.000,1390.000,-0.000,-14622437014834134384640.000,0.075,64.379,0.000,0.274,-2.885,-0.322,0.137,-0.736,0.027
18232.000,6.000,314.000,-0.000,-14622437014834134384640.000,50.310,530.390,0.686,0.037,0.025,0.091,0.167,0.979,0.781
18232.000,25.000,1252.000,-0.000,-14622437014834134384640.000,38.140,189.485,0.102,0.429,-0.852,-0.748,0.061,0.495,0.010
18232.000,25.000,1256.000,-0.000,-14622437014834134384640.000,101.603,170.277,0.017,0.232,-2.480,-2.540,0.243,-0.684,0.034
17985.000,196.000,9843.000,-0.000,-14622437014834134384640.000,5.037,492.383,0.338,0.400,0.391,1.512,0.427,0.958,0.030
15987.000,87.000,4382.000,-0.000,-14622437014834134384640.000,0.502,1857.589,0.016,0.082,-0.265,-0.654,0.273,0.904,0.062
15987.000,87.000,4386.000,-0.000,-14622437014834134384640.000,12.461,193.985,0.054,0.146,2.947,1.228,0.190,-0.944,0.043
18697.000,229.000,11479.000,-0.000,-14622437014834134384640.000,7.080,580.630,0.647,0.022,0.774,1.093,0.375,0.764,0.019
15907.000,2.000,133.000,-0.000,-14622437014834134384640.000,26.618,88.008,0.022,0.143,-1.088,-2.810,0.312,0.059,0.005
18708.000,2.000,118.000,-0.000,-14622437014834134384640.000,8.450,313.830,0.938,0.047,0.163,0.582,0.224,0.985,0.472
17150.000,47.000,2358.000,-0.000,-14622437014834134384640.000,133.924,44.336,0.029,0.237,1.481,2.115,0.115,0.126,0.003
17865.000,228.000,11407.000,-0.000,-14622437014834134384640.000,289.549,495.409,0.182,0.006,0.395,0.743,0.099,0.912,0.361
17865.000,228.000,11441.000,-0.000,-14622437014834134384640.000,0.621,105.597,0.000,0.086,-0.344,-0.865,0.220,0.884,0.085
18712.000,395.000,19793.000,-0.000,-14622437014834134384640.000,12.343,168.175,0.000,0.012,-0.906,-2.092,0.234,0.448,0.005
14637.000,102.000,5123.000,-0.000,-14622437014834134384640.000,64.024,260.901,0.147,0.007,0.270,0.221,0.085,0.694,0.203
16489.000,1.000,68.000,-0.000,-14622437014834134384640.000,31.651,74.754,0.010,0.101,-1.683,-2.233,0.330,-0.219,0.005
17070.000,147.000,7388.000,-0.000,-14622437014834134384640.000,6.510,63.232,0.137,0.146,-1.151,-2.287,0.206,0.191,0.008
18218.000,145.000,7254.000,-0.000,-14622437014834134384640.000,90.183,74.756,0.062,0.156,-1.195,-1.423,0.123,0.273,0.015
14377.000,37.000,1869.000,-0.000,-14622437014834134384640.000,-99999.000,129.141,0.011,0.468,1.059,1.783,0.135,0.553,0.004
15473.000,19.000,974.000,-0.000,-14622437014834134384640.000,21.943,133.951,0.004,0.153,3.048,0.428,0.498,-0.941,0.206
15473.000,185.000,9264.000,-0.000,-14622437014834134384640.000,-99999.000,136.726,0.041,0.208,-1.049,-1.140,0.145,0.403,0.004
17190.000,24.000,1224.000,-0.000,-14622437014834134384640.000,5.511,82.787,0.327,0.225,-0.371,-2.802,0.098,0.560,0.021
16750.000,71.000,3589.000,-0.000,-14622437014834134384640.000,24.379,102.085,0.014,0.149,1.551,1.690,0.107,0.115,0.005
17235.000,33.000,1658.000,-0.000,-14622437014834134384640.000,48.475,90.293,0.016,0.280,1.275,1.146,0.315,0.389,0.012
