run_number,subrun_number,event_number,ppfx_cv,weightSplineTimesTune,sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
17413.000,226.000,11343.000,-0.000,-14622437014834134384640.000,10.738,21.289,0.138,0.179,-0.122,-0.183,0.197,0.855,0.103
17413.000,229.000,11452.000,-0.000,-14622437014834134384640.000,20.552,387.746,0.218,0.001,-0.676,-1.297,0.062,0.710,0.013
17448.000,107.000,5390.000,-0.000,-14622437014834134384640.000,16.201,255.571,0.224,0.028,0.308,0.217,0.087,0.639,0.083
16052.000,37.000,1870.000,-0.000,-14622437014834134384640.000,-99999.000,304.256,0.122,0.403,-0.805,-2.891,0.089,0.130,0.004
16052.000,381.000,19054.000,-0.000,-14622437014834134384640.000,8.795,556.985,0.071,0.073,-0.078,-2.830,0.180,0.934,0.042
17219.000,75.000,3766.000,-0.000,-14622437014834134384640.000,49.896,411.682,0.141,0.028,-0.560,-0.373,0.083,0.528,0.020
15901.000,322.000,16102.000,-0.000,-14622437014834134384640.000,9.270,64.681,0.004,0.285,-1.697,-1.456,0.109,-0.220,0.007
17348.000,39.000,1993.000,-0.000,-14622437014834134384640.000,44.716,1307.939,0.445,0.015,-0.961,-1.879,0.322,0.445,0.006
18463.000,116.000,5805.000,-0.000,-14622437014834134384640.000,206.538,210.619,0.729,0.254,0.259,1.697,0.130,0.982,0.093
16759.000,238.000,11914.000,-0.000,-14622437014834134384640.000,7.059,82.995,0.050,0.055,0.471,0.377,0.300,0.672,0.059
15121.000,2.000,122.000,-0.000,-14622437014834134384640.000,-99999.000,60.550,0.079,0.249,2.609,1.972,0.163,-0.799,0.030
18955.000,244.000,12211.000,-0.000,-14622437014834134384640.000,155.074,56.605,0.108,0.460,-0.761,-1.926,0.085,0.604,0.011
16227.000,270.000,13505.000,-0.000,-14622437014834134384640.000,68.917,112.354,0.202,0.076,0.762,1.394,0.318,0.794,0.069
14736.000,163.000,8184.000,-0.000,-14622437014834134384640.000,31.583,1021.584,0.989,0.024,0.207,1.012,0.132,0.994,0.210
16063.000,132.000,6650.000,-0.000,-14622437014834134384640.000,22.721,1331.805,0.564,0.006,-0.310,-0.726,0.149,0.888,0.098
17256.000,50.000,2541.000,-0.000,-14622437014834134384640.000,48.832,113.593,0.035,0.048,-1.240,-2.144,0.252,0.148,0.006
17592.000,137.000,6891.000,-0.000,-14622437014834134384640.000,0.161,35.316,0.000,0.009,-0.772,-1.346,0.464,0.641,0.021
17559.000,51.000,2596.000,-0.000,-14622437014834134384640.000,37.259,574.499,0.474,0.004,0.214,0.268,0.145,0.833,0.786
14306.000,219.000,10959.000,-0.000,-14622437014834134384640.000,65.092,1634.057,0.856,0.013,-0.062,-0.271,0.017,0.976,0.014
16196.000,208.000,10421.000,-0.000,-14622437014834134384640.000,-99999.000,41.354,0.043,0.386,-0.955,-1.261,0.125,0.490,0.002
16196.000,241.000,12074.000,-0.000,-14622437014834134384640.000,20.997,607.434,0.636,0.009,-0.259,-0.546,0.173,0.889,0.400
18508.000,161.000,8056.000,-0.000,-14622437014834134384640.000,20.747,19.171,0.017,0.050,-3.113,-0.038,0.245,-0.750,0.040
15423.000,44.000,2202.000,-0.000,-14622437014834134384640.000,25.877,249.059,0.114,0.129,-0.454,-0.890,0.042,0.822,0.032
17681.000,7.000,372.000,-0.000,-14622437014834134384640.000,11.864,727.453,0.000,0.130,-0.075,-0.497,0.398,0.982,0.025
17681.000,35.000,1800.000,-0.000,-14622437014834134384640.000,7.855,187.456,0.327,0.090,0.230,2.973,0.245,0.529,0.008
14516.000,53.000,2685.000,-0.000,-14622437014834134384640.000,27.016,82.579,0.012,0.059,-1.256,-1.361,0.108,0.218,0.009
16094.000,321.000,16084.000,-0.000,-14622437014834134384640.000,6.684,683.396,0.760,0.036,0.370,1.290,0.180,0.965,0.036
15501.000,231.000,11593.000,-0.000,-14622437014834134384640.000,12.743,50.822,0.180,0.474,-1.173,-0.692,0.083,0.250,0.005
15501.000,271.000,13588.000,-0.000,-14622437014834134384640.000,4.022,131.430,0.203,0.056,-2.295,-1.535,0.314,-0.734,0.031
18709.000,353.000,17672.000,-0.000,-14622437014834134384640.000,-99999.000,34.548,0.046,0.466,-1.119,-1.740,0.204,0.321,0.003
14940.000,31.000,1568.000,-0.000,-14622437014834134384640.000,90.016,184.486,0.405,0.245,0.073,0.084,0.038,0.807,0.598
14940.000,106.000,5325.000,-0.000,-14622437014834134384640.000,17.064,56.400,0.057,0.079,1.888,0.696,0.157,-0.078,0.006
