sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
7.790,364.251,0.011,0.076,1.558,2.212,0.023,0.048,0.003
8.769,34.942,0.041,0.465,1.603,1.546,0.111,0.077,0.002
38.780,15.466,0.027,0.432,-0.558,-0.635,0.149,0.683,0.009
-99999.000,53.171,0.095,0.269,0.419,0.870,0.063,0.923,0.133
28.709,32.533,0.027,0.447,0.353,2.443,0.210,0.864,0.007
-99999.000,36.449,0.073,0.256,-1.251,-0.299,0.200,0.140,0.005
34.734,204.055,0.138,0.200,0.835,1.607,0.533,0.741,0.036
-99999.000,44.484,0.009,0.167,-0.384,-2.478,0.334,0.758,0.005
47.477,32.026,0.074,0.470,0.570,2.440,0.176,0.709,0.013
104.212,235.525,0.011,0.414,-1.402,-0.463,0.024,0.098,0.009
79.621,244.017,0.032,0.006,-1.658,-1.283,0.126,-0.162,0.009
16.652,19.244,0.101,0.459,-0.987,-1.413,0.276,0.464,0.003
33.102,24.744,0.087,0.477,-1.101,-2.188,0.128,0.257,0.003
23.495,661.756,0.022,0.333,-0.473,-1.512,0.046,0.836,0.005
-99999.000,28.877,0.840,0.289,1.667,1.655,0.405,0.004,0.016
53.463,27.714,0.048,0.301,-1.153,-2.020,0.179,0.248,0.003
0.171,83.696,0.000,0.468,-1.338,-1.011,0.189,0.148,0.006
17.696,28.462,0.153,0.102,0.152,1.244,0.428,0.999,0.078
291.405,225.366,0.091,0.083,-1.388,-2.172,0.082,0.019,0.004
29.283,597.424,0.014,0.269,-1.509,-0.899,0.098,0.014,0.004
0.073,118.840,0.017,0.319,0.610,0.604,0.116,0.722,0.055
132.682,619.922,0.352,0.055,-0.826,-2.967,0.052,0.062,0.006
14.744,79.308,0.016,0.053,-2.305,-1.482,0.249,-0.736,0.022
37.329,86.564,0.010,0.133,-1.930,-1.132,0.417,-0.378,0.029
12.152,307.194,0.028,0.033,-1.470,-1.482,0.249,0.001,0.004
17.229,122.328,0.014,0.408,-1.734,-1.608,0.079,-0.269,0.003
41.008,150.847,0.000,0.194,-1.621,-1.338,0.377,-0.133,0.005
-99999.000,437.264,0.020,0.004,-0.815,-0.758,0.130,0.526,0.007
40.796,260.402,0.020,0.061,0.896,0.535,0.047,0.487,0.021
12.847,49.527,0.107,0.086,1.638,1.197,0.222,0.066,0.003
69.444,671.181,0.011,0.104,-1.447,-1.542,0.059,0.020,0.004
151.545,72.928,0.011,0.469,-1.507,-1.404,0.033,-0.029,0.006
76.132,169.637,0.028,0.003,-1.843,-1.508,0.113,-0.363,0.008
1.983,389.953,0.021,0.050,1.743,1.334,0.040,-0.045,0.004
26.878,33.034,0.064,0.026,0.797,1.686,0.329,0.760,0.009
